Word,Pron
abrasive,"@.br""es.Iv"
aluminum,"@.l""u.m@.n@m"
angular,"""aN.gj@.l@`"
asymmetrical,"%e.sI.m""E.trIk.l="
bald,"b""Old"
barbed,"b""Arbd"
bark,"b""Ark"
beaded,"b""i4.@d"
bent,"b""Ent"
big,"b""Ig"
binding,"b""aIn4.IN"
blunt,"bl""Vnt"
bony,"b""on.i"
bouncy,"b""aUns.i"
brassy,"br""as.i"
brick,"br""Ik"
bristly,"br""I.sl=.i"
brittle,"br""I.4l="
broad,"br""Od"
broken,"br""ok.@n"
bubbly,"b""V.bl=.i"
bulky,"b""Vlk.i"
bumpy,"b""Vmp.i"
burning,"b""3`n.IN"
canvas,"k""an.v@s"
ceramic,"s@.r""a.mIk"
chalky,"tS""Ok.i"
chilly,"tS""Il.i"
chubby,"tS""V.bi"
chunky,"tS""VNk.i"
circular,"s""3`.kj@.l@`"
clammy,"kl""a.mi"
clean,"kl""in"
clingy,"kl""IN.i"
closed,"kl""ozd"
cloth,"kl""OT"
coarse,"k""Ors"
coated,"k""o4.@d"
cold,"k""old"
collapsible,"k@.l""aps.@.bl="
comfortable,"k""Vm.f@`4.@.bl="
compact,"k""Am.pakt"
complete,"k@m.pl""it"
concave,"kAN.k""ev"
conical,"k""An.Ik.l="
contoured,"k""An.tUrd"
convex,"k""An.vEks"
cool,"k""ul"
corroded,"k@`.r""o4.@d"
cotton,"k""A.tn="
cracked,"kr""akt"
creamy,"kr""im.i"
creased,"kr""ist"
crinkled,"kr""IN.kl=d"
crinkly,"kr""IN.kl=.i"
crisp,"kr""Isp"
crumbly,"kr""Vm.bl=.i"
crumpled,"kr""Vm.pl=d"
crushed,"kr""VSt"
crusty,"kr""Vst.i"
cubical,"kj""ub.Ik.l="
cuddly,"k""V.4l=.i"
curly,"k""3`l.i"
curved,"k""3`vd"
cushioned,"k""U.Sn=d"
cushy,"k""U.Si"
cylindrical,"sI.l""In.drIk.l="
damp,"d""amp"
delicate,"d""E.l@.k@t"
dense,"d""Ens"
dented,"d""En4.@d"
dewy,"d""u.i"
dimensional,"d@.m""En.Sn=.@l"
disjointed,"dIs.dZ""OIn4.@d"
dusty,"d""Vst.i"
elastic,"I.l""a.stIk"
empty,"""Emp.ti"
enormous,"I.n""Or.m@s"
etched,"""EtSt"
fabric,"f""a.brIk"
fat,"f""at"
feathered,"f""E.D@`d"
felt,"f""Elt"
fibrous,"f""aI.br@s"
filmy,"f""Ilm.i"
fine,"f""aIn"
firm,"f""3`m"
flabby,"fl""ab.i"
flaky,"fl""ek.i"
flannel,"fl""a.nl="
flat,"fl""at"
flexible,"fl""Eks.@.bl="
flimsy,"fl""Im.zi"
floppy,"fl""Ap.i"
fluffy,"fl""Vf.i"
fluid,"fl""u.Id"
foamy,"f""om.i"
Formica,"fOr.m""aI.k@"
fragile,"fr""a.dZ@l"
frayed,"fr""ed"
freezing,"fr""iz.IN"
frigid,"fr""I.dZId"
frizzy,"fr""Iz.i"
frosty,"fr""Ost.i"
frozen,"fr""oz.n="
full,"f""Ul"
furry,"f""3`.i"
fuzzy,"f""Vz.i"
gelatinous,"dZ@.l""a.4@.n@s"
gigantic,"dZaI.g""an.4Ik"
glass,"gl""as"
glassy,"gl""as.i"
gluey,"gl""u.i"
gnarled,"n""Arld"
gooey,"g""u.i"
granular,"gr""a.nj@l.@`"
gravelly,"gr""a.vl=.i"
greasy,"gr""is.i"
grimy,"gr""aIm.i"
grooved,"gr""uvd"
hairy,"h""Er.i"
hard,"h""Ard"
harsh,"h""ArS"
heavy,"h""E.vi"
hollow,"h""A.lo"
hot,"h""At"
huge,"hj""udZ"
humid,"hj""u.mId"
hurt,"h""3`t"
icy,"""aIs.i"
immense,"I.m""Ens"
indestructible,"%In.dI.str""Vkt.@.bl="
