Language,Dataset,AutotypMatch,R_type,Comments,PhoibleMatch
Guahibo,CLICS,guh,,,guh
Guambiano,CLICS,gum,,,gum
Guayabero,CLICS,guo,,,guo
Guiqiong,CLICS,gqi,no rhotic,wiki,
Gurindji,CLICS,gue,mixed with trill,wiki,
Gurung,CLICS,ggn; gvr,trill,https://audio-video.shanti.virginia.edu/video/gurung-man-describes-otar-village,
Hani,CLICS,hni,no rhotic,wiki,
Hatam,CLICS,had,no trill,wiki,
"Hawu, Seba",CLICS,hvn,trill,Walker (1982) A Grammar of Sawu. https://openresearch-repository.anu.edu.au/bitstream/1885/111434/1/01_Walker_A_Grammar_of_Sawu_1982.pdf,
Hill Mari,CLICS,mrj,trill,https://omniglot.com/writing/mari.htm,
Hinuq,CLICS,gin,trill,wiki,
Hoava,CLICS,hoa,,,hoa
Hokkaido Ainu,CLICS,ain,,,ain
Hunzib,CLICS,huz,trill,wiki,
Hup,CLICS,jup,,,jup
Idu,CLICS,clk,,,
Ika,CLICS,arh,,,arh
Imbabura Quechua,CLICS,que,,,
Inari Sami,CLICS,smn,trill,wiki,
Inga,CLICS,inb,,,inb
Ingush,CLICS,inh,,,inh
Iraqw,CLICS,irk,,,irk
Irarutu,CLICS,irh,,,irh
Itelmen,CLICS,itl,,,itl
Jamsay,CLICS,djm,,,djm
Jenaama,CLICS,bze,,,
Jingpho,CLICS,kac,,,kac
Jinsha Dai,CLICS,tiz,,,
Jinuo,CLICS,jiu,,,
Jitnu,CLICS,mbn,,,mbn
Judeo-Tat,CLICS,jdt,no trill,wiki,
"Kabola, Monbang",CLICS,klz,trill,wiki,
"Kaburi, Benawa",CLICS,uka,,,
Kaera,CLICS,jka,trill,wiki,
Kahe.unn,CLICS,hka,,,hka
Kahua,CLICS,agw,,,
Kaike,CLICS,kzq,,,
Kaimbulawa,CLICS,zka,,,
Kais,CLICS,kzm,,,
Kakua,CLICS,cbv,,,cbv
Kalaallisut,CLICS,kal,,,kal
Kalamang,CLICS,kgv,trill,https://www.duo.uio.no/handle/10852/51535,
Kalao,CLICS,kly,,,
Kali'na,CLICS,car,,,car
Kalmyk,CLICS,xal,trill,wiki,
Kamang,CLICS,woi,,,woi
Kaman [Miju],CLICS,mxj,,,mxj
Kamaru 2,CLICS,kgx,,,
Kamayurá,CLICS,kay,,,kay
Kambera,CLICS,xbr,,,xbr
Kamsá,CLICS,kbh,,,kbh
Karata,CLICS,kpt,trill,wiki,
Kashinawá,CLICS,cbs,,,cbs
"Kedang, Leubatang",CLICS,ksx,trill,wiki,
"Kemak, Kailaku",CLICS,kem,,,
"Kemberano, Kalitami",CLICS,bzp,,,
Keni.unn,CLICS,vun,,,
"Keo, Udiworowatu",CLICS,xxk,,,xxk
Ket,CLICS,ket,,,ket
Khaling,CLICS,klr,trill,http://www.ling.sinica.edu.tw/files/publication/j2012_6_03_7314.pdf,
Kham,CLICS,kgj; kif; kip; kjl,,,
Khasi,CLICS,kha,trill,wiki,kha
Khinalug,CLICS,kjj,trill,wiki,
Khumi,CLICS,cnk,trill,https://web.archive.org/web/20131116213526/http://www.gial.edu/images/theses/Wright_Jonathan-thesis.pdf,
Khwarshi (Khwarshi dialect),CLICS,khv,trill,,
Kia,CLICS,kji,trill,wiki,
Kildin Sami,CLICS,sjd,trill,wiki,
Kilokaka,CLICS,jaj,,,
Kimochi.unn,CLICS,jmc; old,,,
"Kioko, Bonegunu",CLICS,ues,,,
Klon,CLICS,kyo,trill,wiki,
Kogui,CLICS,kog,,,kog
"Kokoda, Negeri Besar",CLICS,xod,,,
Kokota,CLICS,kkk,,,kkk
Komi-Permyak,CLICS,koi,trill,wiki,
Komodo,CLICS,kvh,,,
Konda,CLICS,knd,,,
Konyak,CLICS,nbe,no rhotic,wiki,
Koreguaje,CLICS,coe,,,coe
Kotos Amarasi,CLICS,aaz,trill,https://www.cambridge.org/core/services/aop-cambridge-core/content/view/S0025100315000377,
Kryz,CLICS,kry,,,
Kui,CLICS,kvd,,,
Kuikúro-Kalapálo,CLICS,kui,,,kui
"Kula, Lantoka",CLICS,tpg,,,
Kulisusu,CLICS,vkl,,,
Kumbewaha,CLICS,xks,,,
Kumyk,CLICS,kum,trill,https://www.omniglot.com/writing/kumyk.php,
Kusaghe,CLICS,ksg,,,
Kwaio,CLICS,kwd,,,kwd
Kwara'ae,CLICS,kwf,no trill,https://researchcommons.waikato.ac.nz/handle/10289/5755,
Lahu (Black),CLICS,lhu,,,lhu
Laiyolo,CLICS,lji,,,
Lak,CLICS,lbe,,,lbe
Lamboya,CLICS,lmy,trill,"Verdizade, Allahverdi (2019). Selected topics in the phonology and morphosyntax of Laboya: A field study (MA thesis). Stockholm University.",
Langalanga,CLICS,lgl,,,
Lasalimu,CLICS,llm,,,
Lau North,CLICS,llu,trill,"Francois, Alex. ""The Wala Language of Malaita"" (PDF).",
Lavukaleve,CLICS,lvk,,,lvk
Laz,CLICS,lzz,,,lzz
Lengo,CLICS,lgr,trill,wiki,
Lezgian,CLICS,lez,trill,wiki,
Liangmai,CLICS,njn,,,
Lio,CLICS,ljl,trill,"Elias, Alexander (2019). Lio and the Central Flores languages (M.A. thesis). Leiden University.",
Lisu,CLICS,lis,no rhotic,,lis
Livonian,CLICS,liv,trill,wiki,
Lokuru,CLICS,tqu,no rhotic,,
Lole,CLICS,bpz; dnk; llg; rgu; twu; txg,,,
Lotha,CLICS,njh,,,njh
Lower Sorbian,CLICS,dsb,trill,wiki,
Lule Sami,CLICS,smj,trill,wiki,
Lungga,CLICS,lga,,,
Lushai,CLICS,lus,,,lus
Macuna,CLICS,myy,,,myy
Magar,CLICS,mgp,no trill,wiki,
Makasae,CLICS,mkz,no trill,"Correia, Aderito (2011). Describing Makasae: a trans-New Guinea language of East Timor (Ph.D. thesis). University of Western Sydney. - says tap in detailed description (""vibrant"" in the consonant phoneme table)",
Malango,CLICS,mln,,,
Manange,CLICS,nmm,,,nmm
Manchu,CLICS,mnc,,,mnc
Manggarai,CLICS,mqy,,,
Manipuri,CLICS,mni,,,mni
Mao,CLICS,nbi,,,nbi
Maonan,CLICS,mmd,,,
Maram,CLICS,nma,,,
Maring,CLICS,mbw,trill,wiki,
Marovo,CLICS,mvo,,,
Maru [Langsu],CLICS,mhx,,,
Matu,CLICS,hlt,,,
Maybrat,CLICS,ayz,,,ayz
Mbaelelea,CLICS,bvc,,,
Mbaengguu,CLICS,bvd,,,
Mbambatana,CLICS,baa,,,
Mbilua,CLICS,blb,,,blb
Mbirao,CLICS,brr,,,
Megrelian,CLICS,xmf,,,xmf
Meyah,CLICS,mej,trill,wiki,
Mikir,CLICS,mjw,,,mjw
Moksha,CLICS,mdf,trill,wiki,
Moli,CLICS,vrs,,,
Mombo,CLICS,dmb,,,
Mono,CLICS,mte,trill,wiki,
Moskona,CLICS,mtj,no trill,"Gravelle, Gloria (2010). A Grammar of Moskona: An East Bird's Head Language of West Papua, Indonesia (PhD). Vrije Universiteit Amsterdam. hdl:1871/15730",
Mpur,CLICS,akc,no rhotic,wiki,
Muinane,CLICS,bmr,,,bmr
Mulam,CLICS,mlm,no rhotic,"Coyaud, M (1987) Les Langues Dans Le Monde Chinois. Pour l'Analyse du Folklore, Paris.",
Muna,CLICS,mnb,,,mnb
Muya [Minyak],CLICS,mvm,,,
"Nage, East",CLICS,nxe,,,
Najamba,CLICS,dbu,,,
Namuyi,CLICS,nmy,no rhotic,,
Nanai,CLICS,gld,,,gld
Nanga,CLICS,nzz,,,
Nanggu,CLICS,ngr,,,
Naueti,CLICS,nxa,,,
Naxi,CLICS,nxq,,,nxq
Nduke,CLICS,nke,,,
Nedebang,CLICS,nec,,,
Nembao,CLICS,utp,,,
Newar,CLICS,new,,,new
Ngadha,CLICS,nxg,,,nxg
Nganasan,CLICS,nio,,,nio
Nggela,CLICS,nlg,trill,wiki,
Ngmüün,CLICS,mwq,no rhotic,"Kee, Shein Mang. 2006. A syntactic and pragmatic description of verb stem alternation in K’cho, a Chin language. Master’s thesis, Payap University.",
Nogai,CLICS,nog,,,
Northern Pashto,CLICS,pbu,,,
Northern Yukaghir,CLICS,ykg,,,ykg
North Karelian,CLICS,krl,trill,wiki,
Nosu,CLICS,iii,no rhotic,wiki,
Nukak,CLICS,mbr,,,mbr
Nusu,CLICS,nuf,,,
Ocaina,CLICS,oca,,,oca
Ontong Java,CLICS,ojv,no rhotic,wiki,
Oroha,CLICS,ora,no trill,"wiki ""the r is not rolled""",
Oroqen,CLICS,orh,,,
Ossetic,CLICS,oss,,,oss
Otomi,CLICS,ote,,,ote
"Pancana, Lawele",CLICS,pnp,,,
Patipi,CLICS,oni,,,
Phom,CLICS,nph,no rhotic,wiki,
Pileni,CLICS,piv,no rhotic,wiki,
Piratapuyo,CLICS,pir,,,pir
Playero,CLICS,gob,trill,wiki,
Poleo,CLICS,tlr,no trill,wiki,
Puiron,CLICS,nbu,,,
Pumi (Taoba),CLICS,pmi,no trill,"Daudey, Henriëtte (2014). A grammar of Wadu Pumi (Ph.D. thesis). La Trobe University",
Puragi,CLICS,pru,,,
Q'eqchi',CLICS,kek,,,kek
Qiang (Mawo),CLICS,cng,no rhotic,wiki,
Queyu (Yajiang) [Zhaba],CLICS,qvy,,,
Rawo,CLICS,rwa,,,
Reefs,CLICS,ntu,,,ntu
Rembong,CLICS,reb,,,
Rengma,CLICS,nre,,,
Rennell,CLICS,mnv,no rhotic,wiki,
Resígaro,CLICS,rgr,,,rgr
"Reta, Pura",CLICS,ret,,,
rGyalrong,CLICS,jya,,,jya
Rikou,CLICS,rgu,,,
Ririo,CLICS,rri,,,
Romagnol-std,CLICS,rgn,trill,wiki,
Rongga,CLICS,ror,,,
Roviana,CLICS,rug,,,
Rutul,CLICS,rut,,,rut
Sa'a (1),CLICS,apb,,,
Sakha,CLICS,sah,,,sah
Sáliba,CLICS,slc,,,slc
Sangtam,CLICS,nsa,no trill,wiki,
Santa Ana,CLICS,stn,trill,"wiki (""vibrant"")",
Saramaccan,CLICS,srm,no rhotic,wiki,
Savosavo,CLICS,svs,trill,wiki,svs
Sawai,CLICS,szw,no rhotic,wiki,
Sawila,CLICS,tpg; swt,trill,wiki,
Secoya,CLICS,sey,,,sey
Sema,CLICS,nsm,,,nsm
Seychelles Creole,CLICS,crs,,,
"Sika, Tana Ai",CLICS,ski,,,
Simbo,CLICS,sbb,,,
Siriano,CLICS,sri,,,sri
Skolt Sami,CLICS,sms,trill,wiki,
So'a,CLICS,ssq,,,
Songhai_Kiini,CLICS,khq,,,khq
Songhai_Senni,CLICS,hmb,,,
Sougb,CLICS,mnx,no rhotic,,
Southern Kam,CLICS,doc; kmc,no trill,wiki,
Southern Sami,CLICS,sma,,,sma
Southern Yukaghir,CLICS,yux,,,yux
"South Mambae, Letefoho",CLICS,mgm,trill,Helem Andressa de Oliveira Fogaça (2013). Estudo fonético e fonológico do mambae de Same : uma língua de Timor-Leste (PDF) (Master's thesis) (in Portuguese). Universidade de Brasília.,
Sulung [Puroik],CLICS,suv,,,
Sunwar,CLICS,suz,trill,"""A Grammar of Sunwar"". Dörte Borchers. Retrieved 27 August 2018.",
Tabasaran (Southern dialect),CLICS,tab,trill,wiki,
Takia,CLICS,tbc,,,
Tamang (Sahu),CLICS,taj,,,taj
Tangkhul,CLICS,nmf,,,nmf
Tangsa (Yogli),CLICS,nst,,,nst
Tanimuca,CLICS,tnc,,,tnc
Tariano,CLICS,tae,,,tae
Tarifiyt Berber,CLICS,rif,,,rif
Tataba,CLICS,mrn,trill,"Boswell, Fredrick Alvin (2018). A grammar of Cheke Holo (Doctoral thesis). LOT Publications (Leiden University). hdl:1887/67082. ISBN 978-94-6093-301-1.",
Tatar,CLICS,tat,trill,wiki,
Tatuyo,CLICS,tav,,,tav
Tebul_Ure,CLICS,dtu,trill,"Blench, Dendo, & Douyon, 2005 (ms). Tebul Ure, a language of the Dogon group in Northern Mali and its affinities",
Teiwa,CLICS,twe,no rhotic,wiki,
"Tetun, Suai",CLICS,tdt,trill,"Van Klinken, Catharina (1999). A grammar of the Fehan dialect of Tetun, an Austronesian language of West Timor (PDF). Canberra: Pacific Linguistics, The Australian National University. doi:10.15144/PL-C155. ISBN 0858835142.",
Thakali,CLICS,ths,,,
Tii,CLICS,txq,,,
Tikopia,CLICS,tkp,,,
Tindi,CLICS,tin,,,
Tiranige_Diga,CLICS,tde,,,
To'ambaita,CLICS,mlu,trill,wiki,
Togo_Kan,CLICS,dtm,no trill,wiki,
Tommo_So,CLICS,dto,no trill,wiki,
Totoró,CLICS,ttk,trill,wiki,
Trung [Dulong],CLICS,duu,,,
Tsakhur,CLICS,tkr,trill,wiki,
Tsangla (Motuo),CLICS,tsj,,,tsj
Tsez,CLICS,ddo,,,
Tshona (Mama),CLICS,twm,,,
Tsova-Tush,CLICS,bbl,,,bbl
Tucano,CLICS,tuo,,,tuo
Tujia,CLICS,tji; tjs,no rhotic,"Zhang, Jun [张军]. 2006. Phonological study of the Tujia language / 土家语语音硏究. Ph.D. dissertation, Hong Kong University of Science and Technology.",
"Tukang Besi, Binongko",CLICS,bhq,trill,wiki,
Tunebo Central,CLICS,tuf,trill,wiki,tuf
Udi,CLICS,udi,trill,wiki,
Ughele,CLICS,uge,no rhotic,wiki,
Uruangnirin,CLICS,urn,,,
Vaghua,CLICS,tva,,,
Vangunu,CLICS,mpr,,,
Vano,CLICS,vnk,,,
Veps,CLICS,vep,trill,wiki,
Waerana,CLICS,wrx,,,
Waima'a,CLICS,wmh,,,
Wanano,CLICS,gvc,no trill,wiki,gvc
Welaun,CLICS,wlh,,,
Wersing,CLICS,kvw,trill,wiki,
Western Pantar,CLICS,lev,trill,wiki,
Wetan,CLICS,lex,trill,"Taber, Kathleen B.; Taber, Mark H. (2015). Luang Grammar and Phonology Sketch. SIL e‑Books, 63. Dallas: SIL International.",
White Hmong,CLICS,mww,no rhotic,wiki,
Witoto Mi̵ni̵ca,CLICS,hto,,,hto
Witoto Murui,CLICS,huu,,,huu
Witoto Ni̵pode,CLICS,hux,no trill,wiki,
Wolio,CLICS,wlo,trill,wiki,
Wotu,CLICS,wtw,,,
Wounaan,CLICS,noa,,,noa
Xokleng,CLICS,xok,,,xok
Xumi,CLICS,sxg,no trill,wiki,
Yanda_Dom,CLICS,dym,,,
Yaqui,CLICS,yaq,,,yaq
Yi (Mile),CLICS,yix,,,
Yucuna,CLICS,ycn,,,ycn
Yukpa,CLICS,yup,,,yup
Yurutí,CLICS,yui,,,yui
Zeme,CLICS,nzm,,,
Zinacantán Tzotzil,CLICS,tzo,,,tzo
