color,contribution_pk,count_concepts,description,family_glottocode,family_name,glottocode,id,jsondata,latitude,longitude,macroarea,markup_description,name,pk
#CC5151,30,106,NA,NA,Nuclear Trans New Guinea,abag1245,transnewguineaorg-abaga,{},-6.12028,145.665,Papunesia,NA,Abaga,1896
#3C8033,30,62,NA,NA,Sepik,abau1245,transnewguineaorg-abau,{},-3.97222,141.324,Papunesia,NA,Abau,1897
#338038,17,75,NA,NA,Abkhaz-Adyge,abaz1241,diacl-68466,{},41.1214,42.7273,Eurasia,NA,Abaza,632
#338038,17,286,NA,NA,Abkhaz-Adyge,abkh1244,diacl-58800,{},43.056218,41.159115,Eurasia,NA,Abkhaz,582
#338038,1,929,NA,NA,Abkhaz-Adyge,abkh1244,northeuralex-abk,{},43.056218,41.159115,Eurasia,NA,Abkhaz,1575
#803333,17,70,NA,NA,Austronesian,tagb1258,diacl-29400,{},9.54263,118.497,Papunesia,NA,Aborlan,368
#CC51AE,30,166,NA,NA,Nuclear Torricelli,abua1245,transnewguineaorg-abu-arapesh,{},-3.461612,142.917031,Papunesia,NA,Abu' Arapesh,1898
#593380,2,385,NA,NA,Timor-Alor-Pantar,abui1241,robinsonap-abui,{},-8.31058,124.588,Papunesia,NA,Abui,1682
#593380,16,380,NA,NA,Timor-Alor-Pantar,atim1239,lexirumah-atim1239,{},NA,NA,Papunesia,NA,"Abui, Atimelang",1173
#593380,30,112,NA,NA,Timor-Alor-Pantar,atim1239,transnewguineaorg-abui-atimelang,{},NA,NA,Papunesia,NA,Abui (Atimelang Dialect),1899
#593380,16,341,NA,NA,Timor-Alor-Pantar,abui1241,lexirumah-abui1241-fuime,{},-8.31058,124.588,Papunesia,NA,"Abui, Fuimelang",1150
#593380,30,112,NA,NA,Timor-Alor-Pantar,abui1241,transnewguineaorg-abui-makadai,{},-8.31058,124.588,Papunesia,NA,Abui (Makadai Dialect),1900
#593380,16,98,NA,NA,Timor-Alor-Pantar,abui1241,lexirumah-abui1241-petle,{},-8.31058,124.588,Papunesia,NA,"Abui, Petleng",1152
#593380,16,563,NA,NA,Timor-Alor-Pantar,abui1241,lexirumah-abui1241-takal,{},-8.31058,124.588,Papunesia,NA,"Abui, Takalelang",1153
#593380,16,570,NA,NA,Timor-Alor-Pantar,abui1241,lexirumah-abui1241-ulaga,{},-8.31058,124.588,Papunesia,NA,"Abui, Ulaga",1154
#CCA251,30,40,NA,NA,Abun,abun1252,transnewguineaorg-abun,{},-0.57073,132.416,Papunesia,NA,Abun,1901
#CCA251,30,38,NA,NA,Abun,abun1252,transnewguineaorg-abun-jembun,{},-0.57073,132.416,Papunesia,NA,Abun (Jembun Dialect),1902
#CCA251,30,40,NA,NA,Abun,abun1254,transnewguineaorg-abun-karon-pantai,{},NA,NA,Papunesia,NA,Abun (Karon Pantai Dialect),1903
#CCA251,30,39,NA,NA,Abun,abun1252,transnewguineaorg-abun-senopi,{},-0.57073,132.416,Papunesia,NA,Abun (Senopi Dialect),1904
#803333,17,98,NA,NA,Austronesian,achi1257,diacl-21900,{},3.90757,96.6032,Eurasia,NA,Acehnese,318
#51CC9E,10,259,NA,NA,Arawakan,acha1250,hubercolumbian-Achagua,{},4.38649,-72.2005,South America,NA,Achagua,695
#338080,14,867,NA,NA,Sino-Tibetan,acha1249,suntb-Achang,{},24.3479,97.7438,Eurasia,NA,Achang (Longchuan),1721
#61CC51,4,961,NA,NA,Tupian,ache1246,ids-288,{},-25.5865,-56.4697,South America,NA,Aché,903
#593380,2,361,NA,NA,Timor-Alor-Pantar,adan1251,robinsonap-adang,{},-8.18958,124.448,Papunesia,NA,Adang,1683
#593380,16,385,NA,NA,Timor-Alor-Pantar,adan1251,lexirumah-adan1251-lawah,{},-8.18958,124.448,Papunesia,NA,"Adang, Lawahing",1155
#593380,16,544,NA,NA,Timor-Alor-Pantar,adan1251,lexirumah-adan1251-otvai,{},-8.18958,124.448,Papunesia,NA,"Adang, Otvai",1156
#8FCC51,5,302,NA,NA,Pama-Nyungan,adny1235,bowernpny-Adnyamathanha,{},-30.1451,138.671,Australia,NA,Adnyamathanha,76
#803333,16,564,NA,NA,Austronesian,adon1237,lexirumah-lama1277-adona,{},-8.32027,123.159,Papunesia,NA,Adonara Lamaholot,1333
#803333,16,195,NA,NA,Austronesian,botu1239,lexirumah-lama1277-botun,{},NA,NA,NA,NA,"Adonara Lamaholot, Botun",1337
#803333,16,195,NA,NA,Austronesian,dulh1234,lexirumah-lama1277-dulhi,{},NA,NA,NA,NA,"Adonara Lamaholot, Dulhi",1338
#803333,16,195,NA,NA,Austronesian,horo1249,lexirumah-lama1277-horow,{},NA,NA,NA,NA,"Adonara Lamaholot, Horowura",1339
#803333,16,196,NA,NA,Austronesian,kiwa1252,lexirumah-lama1277-kiwan,{},NA,NA,NA,NA,"Adonara Lamaholot, Kiwangona",1343
#803333,16,196,NA,NA,Austronesian,lama1298,lexirumah-lama1277-lamak,{},NA,NA,NA,NA,"Adonara Lamaholot, Lamakera",1345
#803333,16,196,NA,NA,Austronesian,waiw1246,lexirumah-lama1277-waiwa,{},NA,NA,NA,NA,"Adonara Lamaholot, Waiwadan",1366
#803333,16,194,NA,NA,Austronesian,wata1254,lexirumah-lama1277-watan,{},NA,NA,NA,NA,"Adonara Lamaholot, Watan",1367
#338038,17,87,NA,NA,Abkhaz-Adyge,adyg1241,diacl-68445,{},44,39.33,Eurasia,NA,Adyghe,624
#338038,1,922,NA,NA,Abkhaz-Adyge,adyg1241,northeuralex-ady,{},44,39.33,Eurasia,NA,Adyghe,1576
#CC5151,30,153,NA,NA,Nuclear Trans New Guinea,aeka1244,transnewguineaorg-aeka,{},-8.855095,147.99477,Papunesia,NA,Aeka,1905
#608033,30,46,NA,NA,Kamula-Elevala,aeky1238,transnewguineaorg-aekyom,{},-5.88478,141.532,Papunesia,NA,Aekyom,1906
#CC5151,30,248,NA,NA,Nuclear Trans New Guinea,aghu1255,transnewguineaorg-aghu,{},-6.34674,140.043,Papunesia,NA,Aghu,1907
#8F51CC,17,83,NA,NA,Nakh-Daghestanian,aghu1253,diacl-68480,{},41.9242,47.5843,Eurasia,NA,Aghul,644
#8F51CC,4,1274,NA,NA,Nakh-Daghestanian,aghu1253,ids-61,{},41.9242,47.5843,Eurasia,NA,Aghul,1021
#8F51CC,4,1280,NA,NA,Nakh-Daghestanian,kosh1245,ids-500,{},NA,NA,Eurasia,NA,Aghul (Koshan dialect),978
#8FCC51,5,160,NA,NA,Pama-Nyungan,aghu1254,bowernpny-AghuTharrnggala,{},-13.735,142.426,Australia,NA,Aghu-Tharrnggala,77
#CC51AE,30,41,NA,NA,Nuclear Torricelli,agii1245,transnewguineaorg-agi,{},-3.49104,142.387,Papunesia,NA,Agi,1908
#803633,30,3,NA,NA,Pahoturi,agob1244,transnewguineaorg-agob,{},-9.08521,142.532,Papunesia,NA,Agob,1909
#803333,17,70,NA,NA,Austronesian,cent2084,diacl-23100,{},17.9571,121.857,Papunesia,NA,Agta,324
#7ECC51,4,1158,NA,NA,Chicham,agua1253,ids-258,{},-5.30044,-77.9218,South America,NA,Aguaruna,871
#803333,15,301,NA,NA,Austronesian,aguf1237,tryonsolomon-agufi,{},NA,NA,Papunesia,NA,Agufi,2900
#338046,4,826,NA,NA,Austroasiatic,aheu1239,ids-827,{},17.7655,104.229,Eurasia,NA,Ahlao Th,1071
#C3CC51,17,248,NA,NA,Aikanã,aika1237,diacl-100,{},-12.6695,-60.5353,South America,NA,Aikanã,289
#CCC551,30,97,NA,NA,Bosavi,aime1238,transnewguineaorg-aimele,{},-6.68656,142.656,Papunesia,NA,Aimele,1911
#CC5151,30,129,NA,NA,Nuclear Trans New Guinea,musa1266,transnewguineaorg-aisi,{},-5.37407,145.197,Papunesia,NA,Aisi,1912
#803333,17,88,NA,NA,Austronesian,ajie1238,diacl-16400,{},-21.3029,165.468,Papunesia,NA,A'jië,309
#8F51CC,4,1286,NA,NA,Nakh-Daghestanian,akhv1239,ids-33,{},42.4003,46.3037,Eurasia,NA,Akhvakh (Northern dialect),943
#8F51CC,4,1292,NA,NA,Nakh-Daghestanian,akhv1239,ids-34,{},42.4003,46.3037,Eurasia,NA,Akhvakh (Southern dialect),944
#CCAE51,17,1,NA,NA,Afro-Asiatic,akka1240,diacl-68485,{},33.1,44.1,Eurasia,NA,Akkadian,649
#803333,17,89,NA,NA,Austronesian,akla1241,diacl-23300,{},11.5543,122.354,Papunesia,NA,Aklanon,326
#CC5180,30,100,NA,NA,Angan,akoy1238,transnewguineaorg-akoye,{},-7.66067,145.669,Papunesia,NA,Akoye,1913
#3C8033,30,153,NA,NA,Sepik,alam1246,transnewguineaorg-alamblak,{},-4.66307,143.316,Papunesia,NA,Alamblak,1914
#51CCCC,17,177,NA,NA,Indo-European,tosk1239,diacl-35300,{},41,20,Eurasia,NA,Albanian (Tosk),401
#51CCCC,4,1254,NA,NA,Indo-European,tosk1239,ids-205,{},41,20,Eurasia,NA,Albanian (Tosk variety),820
#CC5151,30,181,NA,NA,Nuclear Trans New Guinea,alek1238,transnewguineaorg-alekano,{},-6.03901,145.387,Papunesia,NA,Alekano,1915
#CC5151,30,125,NA,NA,Nuclear Trans New Guinea,alek1238,transnewguineaorg-alekano-asaroyufa,{},-6.03901,145.387,Papunesia,NA,Alekano (Asaroyufa Dialect),1916
#CC5151,30,157,NA,NA,Nuclear Trans New Guinea,alek1238,transnewguineaorg-alekano-kefamo,{},-6.03901,145.387,Papunesia,NA,Alekano (Kefamo Dialect),1917
#CC5151,30,160,NA,NA,Nuclear Trans New Guinea,alek1238,transnewguineaorg-alekano-kotuni,{},-6.03901,145.387,Papunesia,NA,Alekano (Kotuni Dialect),1918
#CC5151,30,159,NA,NA,Nuclear Trans New Guinea,alek1238,transnewguineaorg-alekano-notofana,{},-6.03901,145.387,Papunesia,NA,Alekano (Notofana Dialect),1919
#CC5151,30,166,NA,NA,Nuclear Trans New Guinea,alek1238,transnewguineaorg-alekano-wanima,{},-6.03901,145.387,Papunesia,NA,Alekano (Wanima Dialect),1920
#7D8033,1,908,NA,NA,Eskimo-Aleut,aleu1260,northeuralex-ale,{},52.1228,-174.29,North America,NA,Aleut,1578
#803E33,30,89,NA,NA,Arafundi,tape1242,transnewguineaorg-alfendio,{},-4.77763,143.337,Papunesia,NA,Alfendio,1921
#803333,30,112,NA,NA,Austronesian,alor1247,transnewguineaorg-alor-baranusa-kabir,{},-8.20382,124.264,Papunesia,NA,Alor (Baranusa Kabir Dialect),1922
#803333,16,570,NA,NA,Austronesian,alor1247,lexirumah-alor1247-besar,{},-8.20382,124.264,Papunesia,NA,"Alorese, Alor-Besar",1161
#803333,16,569,NA,NA,Austronesian,alor1247,lexirumah-alor1247-bana,{},-8.20382,124.264,Papunesia,NA,"Alorese, Bana",1157
#803333,16,246,NA,NA,Austronesian,alor1247,lexirumah-alor1247-baran,{},-8.20382,124.264,Papunesia,NA,"Alorese, Baranusa",1158
#803333,16,439,NA,NA,Austronesian,alor1247,lexirumah-alor1247-baran-YS,{},-8.20382,124.264,Papunesia,NA,"Alorese, Baranusa",1159
#803333,16,489,NA,NA,Austronesian,alor1247,lexirumah-alor1247-beaon,{},-8.20382,124.264,Papunesia,NA,"Alorese, Beaong Onong",1160
#803333,16,422,NA,NA,Austronesian,alor1247,lexirumah-alor1247-buaya,{},-8.20382,124.264,Papunesia,NA,"Alorese, Buaya",1162
#803333,16,486,NA,NA,Austronesian,alor1247,lexirumah-alor1247-dulol,{},-8.20382,124.264,Papunesia,NA,"Alorese, Dulolong",1163
#803333,16,490,NA,NA,Austronesian,alor1247,lexirumah-alor1247-helan,{},-8.20382,124.264,Papunesia,NA,"Alorese, Helandohi",1164
#803333,16,465,NA,NA,Austronesian,alor1247,lexirumah-alor1247-kecil,{},-8.20382,124.264,Papunesia,NA,"Alorese, Kecil",1165
#803333,16,490,NA,NA,Austronesian,alor1247,lexirumah-alor1247-maric,{},-8.20382,124.264,Papunesia,NA,"Alorese, Marica",1166
#803333,16,570,NA,NA,Austronesian,alor1247,lexirumah-alor1247-munas,{},-8.20382,124.264,Papunesia,NA,"Alorese, Munaseli",1167
#803333,16,572,NA,NA,Austronesian,alor1247,lexirumah-alor1247-pandai,{},-8.20382,124.264,Papunesia,NA,"Alorese, Pandai",1168
#803333,16,455,NA,NA,Austronesian,alor1247,lexirumah-alor1247-terna,{},-8.20382,124.264,Papunesia,NA,"Alorese, Ternate",1169
#803333,16,498,NA,NA,Austronesian,alor1247,lexirumah-alor1247-waila,{},-8.20382,124.264,Papunesia,NA,"Alorese, Wailawar",1170
#803333,30,112,NA,NA,Austronesian,alor1247,transnewguineaorg-alor-kalabahi,{},-8.20382,124.264,Papunesia,NA,Alor (Kalabahi Dialect),1923
#593380,2,102,NA,NA,Timor-Alor-Pantar,alor1249,robinsonap-protoalorpantar,{},NA,NA,NA,NA,Alor-Pantar,1690
#803333,15,314,NA,NA,Austronesian,aluu1243,tryonsolomon-alu,{},NA,NA,Papunesia,NA,Alu,2901
#8FCC51,5,288,NA,NA,Pama-Nyungan,alya1239,bowernpny-Alyawarr,{},-21.0427,136.835,Australia,NA,Alyawarr,78
#337180,30,183,NA,NA,Left May,amap1240,transnewguineaorg-ama,{},-4.20192,141.658,Papunesia,NA,Ama,1924
#CC5151,26,291,NA,NA,Nuclear Trans New Guinea,amai1246,zgraggenmadang-amaimon,{},-5.18742,145.368,Papunesia,NA,amaimon,3059
#CC5151,30,282,NA,NA,Nuclear Trans New Guinea,amai1246,transnewguineaorg-amaimon,{},-5.18742,145.368,Papunesia,NA,Amaimon,1925
#3C8033,30,38,NA,NA,Sepik,amal1242,transnewguineaorg-amal,{},-4.04517,141.995,Papunesia,NA,Amal,1926
#803333,30,39,NA,NA,Austronesian,amba1265,transnewguineaorg-ambai,{},-1.88126,136.526,Papunesia,NA,Ambai,1927
#803333,30,37,NA,NA,Austronesian,amba1265,transnewguineaorg-ambai-wadapi-laut,{},-1.88126,136.526,Papunesia,NA,Ambai (Wadapi-Laut Dialect),1928
#335480,30,171,NA,NA,Ambakich,amba1269,transnewguineaorg-ambakich-agurant,{},-4.23181,144.285,Papunesia,NA,Ambakich (Agurant Dialect),1929
#335480,30,154,NA,NA,Ambakich,amba1269,transnewguineaorg-ambakich-arango,{},-4.23181,144.285,Papunesia,NA,Ambakich (Arango Dialect),1930
#335480,30,155,NA,NA,Ambakich,amba1269,transnewguineaorg-ambakich-ombos,{},-4.23181,144.285,Papunesia,NA,Ambakich (Ombos Dialect),1931
#335480,30,155,NA,NA,Ambakich,amba1269,transnewguineaorg-ambakich-pangin,{},-4.23181,144.285,Papunesia,NA,Ambakich (Pangin Dialect),1932
#335480,30,155,NA,NA,Ambakich,amba1269,transnewguineaorg-ambakich-yaut,{},-4.23181,144.285,Papunesia,NA,Ambakich (Yaut Dialect),1933
#3C3380,30,62,NA,NA,Ndu,ambu1247,transnewguineaorg-ambulas,{},-3.7801,143.059,Papunesia,NA,Ambulas,1935
#CC5151,26,298,NA,NA,Nuclear Trans New Guinea,amel1241,zgraggenmadang-amele,{},-5.29126,145.687,Papunesia,NA,amele,3060
#CC5151,30,290,NA,NA,Nuclear Trans New Guinea,amel1241,transnewguineaorg-amele,{},-5.29126,145.687,Papunesia,NA,Amele,1936
#803333,17,70,NA,NA,Austronesian,amga1235,diacl-25000,{},16.9016,121.042,Papunesia,NA,Amganad,338
#803333,17,163,NA,NA,Austronesian,amis1246,diacl-8200,{},23.0917,121.348,Papunesia,NA,Amis,654
#CC51AE,30,44,NA,NA,Nuclear Torricelli,amol1235,transnewguineaorg-amol,{},-3.46843,142.532,Papunesia,NA,Amol,1937
#61CC51,17,250,NA,NA,Tupian,amun1246,diacl-65700,{},-9.04023,-62.3064,South America,NA,Amondawa,602
#CC5151,30,118,NA,NA,Nuclear Trans New Guinea,dudu1240,transnewguineaorg-amowe-bere,{},-5.43119,145.642,Papunesia,NA,Amowe (Bere Dialect),1938
#CC5151,30,116,NA,NA,Nuclear Trans New Guinea,dudu1240,transnewguineaorg-amowe-gomu,{},-5.43119,145.642,Papunesia,NA,Amowe (Gomu Dialect),1939
#CC5151,30,118,NA,NA,Nuclear Trans New Guinea,dudu1240,transnewguineaorg-amowe-tagoe,{},-5.43119,145.642,Papunesia,NA,Amowe (Tagoe Dialect),1940
#CC518B,30,102,NA,NA,Amto-Musan,amto1250,transnewguineaorg-amto,{},-4.12165,141.339,Papunesia,NA,Amto,1941
#CC5151,26,297,NA,NA,Nuclear Trans New Guinea,anam1247,zgraggenmadang-anam,{},-4.68869,145.051,Papunesia,NA,anam,3061
#CC5151,30,290,NA,NA,Nuclear Trans New Guinea,anam1247,transnewguineaorg-anam,{},-4.68869,145.051,Papunesia,NA,Anam,1942
#CC5151,26,292,NA,NA,Nuclear Trans New Guinea,anam1248,zgraggenmadang-anamgura,{},-4.63762,144.991,Papunesia,NA,anamgura,3062
#CC5151,30,284,NA,NA,Nuclear Trans New Guinea,anam1248,transnewguineaorg-anamgura,{},-4.63762,144.991,Papunesia,NA,Anamgura,1943
#CCAE51,4,1191,NA,NA,Afro-Asiatic,olda1245,ids-215,{},NA,NA,Eurasia,NA,Ancient Aramaic,828
#51CCCC,4,1256,NA,NA,Indo-European,anci1242,ids-167,{},39.8155,21.9129,Eurasia,NA,Ancient Greek,782
#8F51CC,17,74,NA,NA,Nakh-Daghestanian,andi1255,diacl-68469,{},42.8078,46.2919,Eurasia,NA,Andi,635
#8F51CC,4,1287,NA,NA,Nakh-Daghestanian,andi1255,ids-32,{},42.8078,46.2919,Eurasia,NA,Andi,936
#8F51CC,4,1297,NA,NA,Nakh-Daghestanian,muni1255,ids-316,{},NA,NA,Eurasia,NA,Andi (Muni dialect),932
#CC5180,30,100,NA,NA,Angan,anga1290,transnewguineaorg-angaataha,{},-7.15012,146.352,Papunesia,NA,Angaataha,1944
#CC5151,30,91,NA,NA,Nuclear Trans New Guinea,anga1293,transnewguineaorg-angal,{},-6.0127,143.592,Papunesia,NA,Angal,1945
#CC5151,30,2,NA,NA,Nuclear Trans New Guinea,anga1294,transnewguineaorg-angal-enen,{},-6.23296,143.583,Papunesia,NA,Angal Enen,1946
#CC5151,30,7,NA,NA,Nuclear Trans New Guinea,anga1292,transnewguineaorg-angal-heneng,{},-6.13347,143.478,Papunesia,NA,Angal Heneng,1947
#338080,19,498,NA,NA,Sino-Tibetan,khon1248,marrisonnaga-KhonomaAngami,{},NA,NA,Eurasia,NA,Angami Khonoma,1519
#338080,19,560,NA,NA,Sino-Tibetan,anga1288,marrisonnaga-KohimaAngami,{},25.6841,93.8668,Eurasia,NA,Angami Kohima,1520
#CCAE51,11,414,NA,NA,Afro-Asiatic,ngas1240,kraftchadic-Angas,{},9.32042,9.46146,Africa,NA,Angas,1084
#51CCCC,17,1,NA,NA,Indo-European,angl1258,diacl-68457,{},NA,NA,NA,NA,Anglo-Norman,630
#51CCCC,17,144,NA,NA,Indo-European,angl1239,diacl-46500,{},39,-78,North America,NA,Angloromani,486
#80336C,30,186,NA,NA,Lower Sepik-Ramu,ango1255,transnewguineaorg-angoram,{},-4.07758,144.028,Papunesia,NA,Angoram,1948
#80336C,30,110,NA,NA,Lower Sepik-Ramu,ango1255,transnewguineaorg-angoram-kambrindo,{},-4.07758,144.028,Papunesia,NA,Angoram (Kambrindo Dialect),1949
#80336C,30,84,NA,NA,Lower Sepik-Ramu,ango1255,transnewguineaorg-angoram-kanduanum,{},-4.07758,144.028,Papunesia,NA,Angoram (Kanduanum Dialect),1950
#80336C,30,76,NA,NA,Lower Sepik-Ramu,ango1255,transnewguineaorg-angoram-magendo,{},-4.07758,144.028,Papunesia,NA,Angoram (Magendo Dialect),1952
#80336C,30,85,NA,NA,Lower Sepik-Ramu,ango1255,transnewguineaorg-angoram-marbuk,{},-4.07758,144.028,Papunesia,NA,Angoram (Marbuk Dialect),1953
#CC5151,26,291,NA,NA,Nuclear Trans New Guinea,anja1238,zgraggenmadang-anjam,{},-5.45899,145.717,Papunesia,NA,anjam,3063
#CC5151,30,280,NA,NA,Nuclear Trans New Guinea,anja1238,transnewguineaorg-anjam,{},-5.45899,145.717,Papunesia,NA,Anjam,1955
#CC5151,30,79,NA,NA,Nuclear Trans New Guinea,anja1238,transnewguineaorg-anjam-lalok,{},-5.45899,145.717,Papunesia,NA,Anjam (Lalok Dialect),1956
#CC5180,30,100,NA,NA,Angan,anka1246,transnewguineaorg-ankave,{},-7.19444,145.754,Papunesia,NA,Ankave,1957
#CCAE51,11,426,NA,NA,Afro-Asiatic,goem1240,kraftchadic-Ankwe,{},8.74455,9.72453,Africa,NA,Ankwe,1085
#338080,14,868,NA,NA,Sino-Tibetan,nung1282,suntb-Anong,{},27.2887,98.7333,Eurasia,NA,Anong,1722
#803333,30,40,NA,NA,Austronesian,ansu1237,transnewguineaorg-ansus,{},-1.7543,135.866,Papunesia,NA,Ansus,1958
#51CC70,23,506,NA,NA,Tai-Kadai,sand1270,castrosui-AntangWesternSandong,{},NA,NA,Eurasia,NA,Antang,251
#8FCC51,5,154,NA,NA,Pama-Nyungan,ande1247,bowernpny-Antekerrepenhe,{},-22.51278,137.3515,Australia,NA,Antekerrepenhe,79
#803333,15,307,NA,NA,Austronesian,anut1237,tryonsolomon-anuta,{},-11.61,169.85,Papunesia,NA,Anuta,2902
#338080,19,557,NA,NA,Sino-Tibetan,aona1235,marrisonnaga-ChungliAo,{},26.3241,94.3824,Eurasia,NA,Ao Chungli,1514
#338080,19,507,NA,NA,Sino-Tibetan,mong1332,marrisonnaga-MongsenAo,{},NA,NA,Eurasia,NA,Ao Mongsen,1531
#CC5151,26,292,NA,NA,Nuclear Trans New Guinea,apal1256,zgraggenmadang-apali,{},-5.1727,145.023,Papunesia,NA,apali,3064
#CC5151,30,296,NA,NA,Nuclear Trans New Guinea,apal1256,transnewguineaorg-apali,{},-5.1727,145.023,Papunesia,NA,Apali,1961
#338080,17,7,NA,NA,Sino-Tibetan,apat1240,diacl-68415,{},27.1933,93.7284,Eurasia,NA,Apatani,618
#51CCC1,30,168,NA,NA,Ap Ma,apma1241,transnewguineaorg-ap-ma,{},-4.35147,144.085,Papunesia,NA,Ap Ma,1959
#51CCC1,30,94,NA,NA,Ap Ma,kamb1306,transnewguineaorg-ap-ma-kambaramba,{},NA,NA,Papunesia,NA,Ap Ma (Kambaramba Dialect),1960
#803333,16,185,NA,NA,Austronesian,ilpu1239,lexirumah-ilpu1239,{},NA,NA,Papunesia,NA,Aputai,1255
#8FCC51,5,312,NA,NA,Pama-Nyungan,arab1267,bowernpny-Arabana,{},-28.705,135.449,Australia,NA,Arabana,80
#BDCC51,16,173,NA,NA,South Bird's Head Family,aran1237,lexirumah-aran1237,{},-2.08016,132.983,Papunesia,NA,Arandai,1171
#BDCC51,30,39,NA,NA,South Bird's Head Family,aran1237,transnewguineaorg-arandai,{},-2.08016,132.983,Papunesia,NA,Arandai,1963
#BDCC51,30,137,NA,NA,South Bird's Head Family,aran1237,transnewguineaorg-arandai-barau,{},-2.08016,132.983,Papunesia,NA,Arandai (Barau Dialect),1964
#BDCC51,30,81,NA,NA,South Bird's Head Family,aran1237,transnewguineaorg-arandai-kasuwer,{},-2.08016,132.983,Papunesia,NA,Arandai (Kasuwer Dialect),1965
#BDCC51,30,182,NA,NA,South Bird's Head Family,aran1237,transnewguineaorg-arandai-sebyar,{},-2.08016,132.983,Papunesia,NA,Arandai (Sebyar Dialect),1966
#BDCC51,30,78,NA,NA,South Bird's Head Family,aran1237,transnewguineaorg-arandai-tarof,{},-2.08016,132.983,Papunesia,NA,Arandai (Tarof Dialect),1967
#BDCC51,30,272,NA,NA,South Bird's Head Family,aran1237,transnewguineaorg-arandai-weriagar,{},-2.08016,132.983,Papunesia,NA,Arandai (Weriagar Dialect),1968
#336380,4,801,NA,NA,Pano-Tacanan,arao1248,ids-272,{},-12.4242,-67.7293,South America,NA,Araona,886
#CC5151,26,291,NA,NA,Nuclear Trans New Guinea,araw1272,zgraggenmadang-arawum,{},-5.52787,145.903,Papunesia,NA,arawum,3065
#CC5151,30,281,NA,NA,Nuclear Trans New Guinea,araw1272,transnewguineaorg-arawum,{},-5.52787,145.903,Papunesia,NA,Arawum,1969
#8F51CC,20,1249,NA,NA,Nakh-Daghestanian,arch1244,wold-Archi,{},42.3239,46.8267,Eurasia,NA,Archi,3011
#8F51CC,4,1279,NA,NA,Nakh-Daghestanian,arch1244,ids-62,{},42.3239,46.8267,Eurasia,NA,Archi (variety 1),1022
#8F51CC,4,1276,NA,NA,Nakh-Daghestanian,arch1244,ids-534,{},42.3239,46.8267,Eurasia,NA,Archi (variety 2),1014
#803333,15,313,NA,NA,Austronesian,area1240,tryonsolomon-areare1,{},-9.20699,161.158,Papunesia,NA,'Are'are (1),2903
#803333,15,303,NA,NA,Austronesian,area1240,tryonsolomon-areare2,{},-9.20699,161.158,Papunesia,NA,'Are'are (2),2904
#803333,16,178,NA,NA,Austronesian,argu1237,lexirumah-argu1237,{},-2.645798,132.5556,Papunesia,NA,Arguni,1172
#51CC65,30,90,NA,NA,Suki-Gogodala,arii1243,transnewguineaorg-ari,{},-7.95526,142.4,Papunesia,NA,Ari,1970
#51B5CC,17,10,NA,NA,Nuclear-Macro-Je,arik1265,diacl-55650,{},-12.4878,-62.7261,South America,NA,Arikapú,562
#51CCCC,1,949,NA,NA,Indo-European,nucl1235,northeuralex-hye,{},40,45,Eurasia,NA,Armenian,1615
#803333,15,313,NA,NA,Austronesian,aros1241,tryonsolomon-arosi1,{},-10.2441,161.432,Papunesia,NA,Arosi (1),2905
#803333,15,313,NA,NA,Austronesian,aros1241,tryonsolomon-arosi2,{},-10.2441,161.432,Papunesia,NA,Arosi (2),2906
#61CC51,17,117,NA,NA,Tupian,arua1261,diacl-60200,{},-12.1186,-62.4357,South America,NA,Aruá,590
#80336C,30,58,NA,NA,Lower Sepik-Ramu,arua1260,transnewguineaorg-aruamu,{},-4.28957,144.842,Papunesia,NA,Aruamu,1971
#CC51AE,30,42,NA,NA,Nuclear Torricelli,aruo1240,transnewguineaorg-aruop,{},-3.45782,142.478,Papunesia,NA,Aruop,1972
#CC5151,30,46,NA,NA,Nuclear Trans New Guinea,asar1240,transnewguineaorg-asaroo,{},-5.68263,146.508,Papunesia,NA,Asaro'o,1973
#CC5151,26,290,NA,NA,Nuclear Trans New Guinea,asas1240,zgraggenmadang-asas,{},-5.69345,145.549,Papunesia,NA,asas,3066
#CC5151,30,280,NA,NA,Nuclear Trans New Guinea,asas1240,transnewguineaorg-asas,{},-5.69345,145.549,Papunesia,NA,Asas,1974
#51CCCC,17,88,NA,NA,Indo-European,ashk1246,diacl-52500,{},34.84277,70.37453,Eurasia,NA,Ashkun,533
#CC5151,30,61,NA,NA,Nuclear Trans New Guinea,casu1237,transnewguineaorg-asmat-casuarina-coast,{},-6.43005,138.566,Papunesia,NA,"Asmat, Casuarina Coast",1975
#CC5151,30,68,NA,NA,Nuclear Trans New Guinea,casu1237,transnewguineaorg-asmat-casuarina-coast-aorket,{},-6.43005,138.566,Papunesia,NA,"Asmat, Casuarina Coast (Aorket Dialect)",1976
#CC5151,30,67,NA,NA,Nuclear Trans New Guinea,casu1237,transnewguineaorg-asmat-casuarina-coast-makair,{},-6.43005,138.566,Papunesia,NA,"Asmat, Casuarina Coast (Makair Dialect)",1977
#CC5151,30,128,NA,NA,Nuclear Trans New Guinea,casu1237,transnewguineaorg-asmat-casuarina-coast-masin,{},-6.43005,138.566,Papunesia,NA,"Asmat, Casuarina Coast (Masin Dialect)",1978
#CC5151,30,1,NA,NA,Nuclear Trans New Guinea,casu1237,transnewguineaorg-asmat-casuarina-coast-mayun,{},-6.43005,138.566,Papunesia,NA,"Asmat, Casuarina Coast (Mayun Dialect)",1979
