ID,Name,Parameter,Language,Frequency,Confidence,References,Language_broad,n,Dataset,AutotypMatch,R_type,Comments,PhoibleMatch
halenepal-Magar-1677_rough-1,uske,ROUGH,Magar,NA,NA,NA,Magar,1,CLICS,mgp,no trill,wiki,NA
ids-64-15-760-1,veki,ROUGH,Lezgian,NA,NA,NA,Lezgian,2,CLICS,lez,trill,wiki,NA
lexirumah-buru1303-rough-1,walalakak,ROUGH,Buru,NA,NA,NA,Buru,1,CLICS,mhs,trill,"Grimes, Charles E. (1991). The Buru language of Eastern Indonesia (Ph.D. thesis). Australian National University.",NA
lexirumah-alor1247-baran-YS-rough-1,wera,ROUGH,"Alorese, Baranusa",NA,NA,NA,Alorese,13,CLICS,aol,trill,"Klamer, Margaretha Anna Flora. (2011). A short grammar of Alorese (Austronesian). Muenchen: Lincom Europa.",NA
wold-Iraqw-1038_rough1-1,xaslasla,ROUGH,Iraqw,NA,NA,NA,Iraqw,1,CLICS,irk,NA,NA,irk
wold-Otomi-1038_rough1-1,xinzadi,ROUGH,Otomi,NA,NA,NA,Otomi,1,CLICS,ote,NA,NA,ote
hantganbangime-Najamba-212_rough-1,yagaja,ROUGH,Najamba,NA,NA,NA,Najamba,1,CLICS,dbu,NA,NA,NA
hantganbangime-Mombo-212_rough-1,yagara,ROUGH,Mombo,NA,NA,NA,Mombo,1,CLICS,dmb,NA,NA,NA
hantganbangime-Tiranige_Diga-212_rough-1,yagara,ROUGH,Tiranige_Diga,NA,NA,NA,Tiranige_Diga,1,CLICS,tde,NA,NA,NA
hantganbangime-Tommo_So-212_rough-1,yagaru,ROUGH,Tommo_So,NA,NA,NA,Tommo_So,1,CLICS,dto,no trill,wiki,NA
marrisonnaga-Konyak-617_rough-1,yishinpu,ROUGH,Konyak,NA,NA,NA,Konyak,1,CLICS,nbe,no rhotic,wiki,NA
marrisonnaga-Sangtam-617_rough-1,yongkoyongru,ROUGH,Sangtam,NA,NA,NA,Sangtam,1,CLICS,nsa,no trill,wiki,NA
suntb-Sulong-882_smooth-1,a33g@i33,SMOOTH,Sulung [Puroik],NA,NA,NA,Sulung,1,CLICS,suv,NA,NA,NA
tryonsolomon-ghari-250_smooth-1,aca,SMOOTH,Ghari,NA,NA,NA,Ghari,1,CLICS,gri,NA,NA,NA
ids-319-15-770-3,aenaekhintsperenos,SMOOTH,Ossetic,NA,NA,NA,Ossetic,1,CLICS,oss,NA,NA,oss
ids-319-15-770-2,aentson,SMOOTH,Ossetic,NA,NA,NA,Ossetic,1,CLICS,oss,NA,NA,oss
hubercolumbian-Guahibo-334_smooth-1,ahue,SMOOTH,Guahibo,NA,NA,NA,Guahibo,1,CLICS,guh,NA,NA,guh
hubercolumbian-Playero-334_smooth-2,ahue,SMOOTH,Playero,NA,NA,NA,Playero,1,CLICS,gob,trill,wiki,NA
northeuralex-abk-493_smooth-1,aimayzi,SMOOTH,Abkhaz,NA,NA,NA,Abkhaz,1,CLICS,abk,trill,wiki,NA
diacl-58800-149_smooth-1,ajasga,SMOOTH,Abkhaz,NA,NA,NA,Abkhaz,1,CLICS,abk,trill,wiki,NA
lexirumah-biak1248-smooth-1,akikjew,SMOOTH,Biak,NA,NA,NA,Biak,1,CLICS,bhw,NA,NA,bhw
tryonsolomon-asumboa-250_smooth-1,alevaleve,SMOOTH,Asumboa,NA,NA,NA,Asumboa,1,CLICS,aua,NA,NA,NA
lexirumah-gese1240-smooth-1,alus,SMOOTH,Geser-Gorom,NA,NA,NA,Geser-Gorom,1,CLICS,ges,NA,NA,NA
lexirumah-remb1250-smooth-1,alus,SMOOTH,Rembong,NA,NA,NA,Rembong,1,CLICS,reb,NA,NA,NA
lexirumah-sika1262-tanai-smooth-4,alus,SMOOTH,"Sika, Tana Ai",NA,NA,NA,Sika,2,CLICS,ski,NA,NA,NA
lexirumah-bone1254-smooth-1,alusu,SMOOTH,Bonerate,NA,NA,NA,Bonerate,2,CLICS,bna,NA,NA,NA
lexirumah-kumb1274-smooth-1,alusu,SMOOTH,Kumbewaha,NA,NA,NA,Kumbewaha,1,CLICS,xks,NA,NA,NA
lexirumah-lasa1237-smooth-1,alusu,SMOOTH,Lasalimu,NA,NA,NA,Lasalimu,1,CLICS,llm,NA,NA,NA
lexirumah-lioo1240-smooth-1,amo,SMOOTH,Lio,NA,NA,NA,Lio,1,CLICS,ljl,trill,"Elias, Alexander (2019). Lio and the Central Flores languages (M.A. thesis). Leiden University.",NA
wold-ImbaburaQuechua-1039_smooth-1,amuklla,SMOOTH,Imbabura Quechua,NA,NA,NA,Imbabura Quechua,1,CLICS,que,NA,NA,NA
marrisonnaga-Maring-691_smooth-1,ana,SMOOTH,Maring,NA,NA,NA,Maring,1,CLICS,mbw,trill,wiki,NA
lexirumah-stan1308-smooth-1,aoalusu,SMOOTH,Muna,NA,NA,NA,Muna,1,CLICS,mnb,NA,NA,mnb
lexirumah-maib1239-smooth-1,apuox,SMOOTH,Maybrat,NA,NA,NA,Maybrat,1,CLICS,ayz,NA,NA,ayz
tryonsolomon-lokuru-250_smooth-1,arota,SMOOTH,Lokuru,NA,NA,NA,Lokuru,1,CLICS,tqu,no rhotic,NA,NA
wold-TarifiytBerber-1039_smooth-1,ar@qqag,SMOOTH,Tarifiyt Berber,NA,NA,NA,Tarifiyt Berber,1,CLICS,rif,NA,NA,rif
lexirumah-kond1303-smooth-1,asiserere,SMOOTH,Konda,NA,NA,NA,Konda,1,CLICS,knd,NA,NA,NA
sohartmannchin-Chinbon-213_smooth-1,athoijot,SMOOTH,Chinbon,NA,NA,NA,Chinbon,1,CLICS,csh,no rhotic,wiki,NA
northeuralex-ale-493_smooth-1,atxaxsix,SMOOTH,Aleut,NA,NA,NA,Aleut,1,CLICS,ale,NA,NA,ale
hubercolumbian-Cuiba-334_smooth-1,axue,SMOOTH,Cuiba,NA,NA,NA,Cuiba,1,CLICS,cui,NA,NA,cui
lexirumah-kaer1234-smooth-2,baxarang,SMOOTH,Kaera,NA,NA,NA,Kaera,1,CLICS,jka,trill,wiki,NA
satterthwaitetb-SichuanYi-337_smoothofsurface-1,bbaxyuo,SMOOTH,Nosu,NA,NA,NA,Nosu,1,CLICS,iii,no rhotic,wiki,NA
lexirumah-funa1237-smooth-1,bdoson,SMOOTH,Funai Helong,NA,NA,NA,Funai Helong,1,CLICS,heg,NA,NA,NA
lexirumah-dela1252-smooth-2,bebela,SMOOTH,Dela,NA,NA,NA,Dela,1,CLICS,row,trill,https://www.omniglot.com/writing/westernrote.htm,NA
robinsonap-nedebang-268_smooth-1,bifi,SMOOTH,Nedebang,NA,NA,NA,Nedebang,1,CLICS,nec,NA,NA,NA
northeuralex-gld-493_smooth-2,bildobildobi,SMOOTH,Nanai,NA,NA,NA,Nanai,1,CLICS,gld,NA,NA,gld
hubercolumbian-Playero-334_smooth-1,binehai,SMOOTH,Playero,NA,NA,NA,Playero,1,CLICS,gob,trill,wiki,NA
hubercolumbian-Kamsa-334_smooth-1,binginjana,SMOOTH,Kamsá,NA,NA,NA,Kamsá,1,CLICS,kbh,NA,NA,kbh
lexirumah-negr1235-smooth-1,biribiri,SMOOTH,"Kokoda, Negeri Besar",NA,NA,NA,Kokoda,2,CLICS,xod,NA,NA,NA
ids-37-15-770-1,bitii,SMOOTH,Botlikh,NA,NA,NA,Botlikh,2,CLICS,bph,NA,NA,NA
ids-38-15-770-1,bitiissu,SMOOTH,Godoberi,NA,NA,NA,Godoberi,1,CLICS,gdo,NA,NA,NA
tryonsolomon-blablanga-250_smooth-1,blelu,SMOOTH,Blablanga,NA,NA,NA,Blablanga,1,CLICS,blp,trill,"Voica, Radu (2017). A fieldwork-based approach to Blanga (Blablanga), an Austronesian language of the Solomon Islands, with reference to predicate-argument relations(PhD). SOAS University of London.",NA
lexirumah-kema1243-kaila-smooth-1,b@lobon,SMOOTH,"Kemak, Kailaku",NA,NA,NA,Kemak,1,CLICS,kem,NA,NA,NA
hantganbangime-Bunoge-241_smooth-1,borallaga,SMOOTH,Bunoge,NA,NA,NA,Bunoge,1,CLICS,dgb,no trill,"Heath, Jeffrey (2017), A grammar of Bunoge (Dogon, Mali),",NA
lexirumah-galo1243-smooth-1,brena,SMOOTH,Galolen,NA,NA,NA,Galolen,1,CLICS,gal,trill,https://omniglot.com/writing/galoli.htm,NA
northeuralex-ddo-493_smooth-1,bujaesi,SMOOTH,Tsez,NA,NA,NA,Tsez,3,CLICS,ddo,NA,NA,NA
hantganbangime-Tiranige_Diga-241_smooth-1,burada,SMOOTH,Tiranige_Diga,NA,NA,NA,Tiranige_Diga,1,CLICS,tde,NA,NA,NA
wold-Oroqen-1039_smooth-1,burtsurin,SMOOTH,Oroqen,NA,NA,NA,Oroqen,1,CLICS,orh,NA,NA,NA
diacl-58200-149_smooth-1,calcam,SMOOTH,Lezgian,NA,NA,NA,Lezgian,2,CLICS,lez,trill,wiki,NA
ids-50-15-770-1,chahchub,SMOOTH,Tindi,NA,NA,NA,Tindi,1,CLICS,tin,NA,NA,NA
wold-Yaqui-1039_smooth-1,chitabetalai,SMOOTH,Yaqui,NA,NA,NA,Yaqui,1,CLICS,yaq,NA,NA,yaq
wold-ZinacantanTzotzil-1039_smooth-1,chulul,SMOOTH,Zinacantán Tzotzil,NA,NA,NA,Zinacantán Tzotzil,1,CLICS,tzo,NA,NA,tzo
halenepal-Gurung-1676_smooth-1,ciqllo,SMOOTH,Gurung,NA,NA,NA,Gurung,1,CLICS,ggn; gvr,trill,https://audio-video.shanti.virginia.edu/video/gurung-man-describes-otar-village,NA
wold-Archi-1039_smooth-1,cula,SMOOTH,Archi,NA,NA,NA,Archi,3,CLICS,aqc,NA,NA,aqc
halenepal-Newar-1676_smooth-1,culu,SMOOTH,Newar,NA,NA,NA,Newar,1,CLICS,new,NA,NA,new
halenepal-Thakali-1676_smooth-1,cyahmpa,SMOOTH,Thakali,NA,NA,NA,Thakali,1,CLICS,ths,NA,NA,NA
hantganbangime-Jenaama-241_smooth-1,daatana,SMOOTH,Jenaama,NA,NA,NA,Jenaama,1,CLICS,bze,NA,NA,NA
tryonsolomon-kwaraae-250_smooth-1,dad,SMOOTH,Kwara'ae,NA,NA,NA,Kwara'ae,1,CLICS,kwf,no trill,https://researchcommons.waikato.ac.nz/handle/10289/5755,NA
tryonsolomon-langalanga-250_smooth-1,dada,SMOOTH,Langalanga,NA,NA,NA,Langalanga,1,CLICS,lgl,NA,NA,NA
tryonsolomon-launorth-250_smooth-1,dada,SMOOTH,Lau North,NA,NA,NA,Lau North,1,CLICS,llu,trill,"Francois, Alex. ""The Wala Language of Malaita"" (PDF).",NA
tryonsolomon-launorth-250_smooth-2,dadala,SMOOTH,Lau North,NA,NA,NA,Lau North,1,CLICS,llu,trill,"Francois, Alex. ""The Wala Language of Malaita"" (PDF).",NA
tryonsolomon-dorio-250_smooth-1,dadaraa,SMOOTH,Dori'o,NA,NA,NA,Dori'o,1,CLICS,dor,NA,NA,NA
lexirumah-sawi1256-smooth-1,daluka,SMOOTH,Sawila,NA,NA,NA,Sawila,1,CLICS,tpg; swt,trill,wiki,NA
marrisonnaga-Lushai-691_smooth-1,dam,SMOOTH,Lushai,NA,NA,NA,Lushai,1,CLICS,lus,NA,NA,lus
hubercolumbian-Cuiba-334_smooth-2,damei,SMOOTH,Cuiba,NA,NA,NA,Cuiba,1,CLICS,cui,NA,NA,cui
lexirumah-west2547-welaun-smooth-1,darat,SMOOTH,Welaun,NA,NA,NA,Welaun,1,CLICS,wlh,NA,NA,NA
tryonsolomon-fataleka-250_smooth-1,dedema,SMOOTH,Fataleka,NA,NA,NA,Fataleka,1,CLICS,far,NA,NA,NA
wold-Sakha-1039_smooth-1,dekhsi,SMOOTH,Sakha,NA,NA,NA,Sakha,1,CLICS,sah,NA,NA,sah
tls-Kimochiunn-1247_smooth-1,dendekeri,SMOOTH,Kimochi.unn,NA,NA,NA,Kimochi.unn,1,CLICS,jmc; old,NA,NA,NA
tls-Keniunn-1247_smooth-1,denderi,SMOOTH,Keni.unn,NA,NA,NA,Keni.unn,1,CLICS,vun,NA,NA,NA
suntb-MileYi-882_smooth-2,di33,SMOOTH,Yi (Mile),NA,NA,NA,Yi,5,CLICS,yix,NA,NA,NA
lexirumah-hata1243-smooth-2,dia,SMOOTH,Hatam,NA,NA,NA,Hatam,1,CLICS,had,no trill,wiki,NA
northeuralex-lbe-493_smooth-1,djurtsusa,SMOOTH,Lak,NA,NA,NA,Lak,4,CLICS,lbe,NA,NA,lbe
wold-WhiteHmong-1039_smooth-1,du,SMOOTH,White Hmong,NA,NA,NA,White Hmong,1,CLICS,mww,no rhotic,wiki,NA
robinsonap-westernpantar-268_smooth-1,duba,SMOOTH,Western Pantar,NA,NA,NA,Western Pantar,1,CLICS,lev,trill,wiki,NA
lexirumah-kula1280-lanto-smooth-1,dula,SMOOTH,"Kula, Lantoka",NA,NA,NA,Kula,1,CLICS,tpg,NA,NA,NA
lexirumah-rett1240-smooth-1,dula,SMOOTH,"Reta, Pura",NA,NA,NA,Reta,2,CLICS,ret,NA,NA,NA
robinsonap-blagar-268_smooth-1,dula,SMOOTH,Blagar,NA,NA,NA,Blagar,9,CLICS,beu,trill,"Steinhauer, Hein (2014). ""Blagar"". In Schapper, Antoinette (ed.). The Papuan Languages of Timor, Alor and Pantar: Volume 1: Sketch Grammars. Walter de Gruyter. pp. 147–219",NA
robinsonap-kui-268_smooth-1,dula,SMOOTH,Kui,NA,NA,NA,Kui,2,CLICS,kvd,NA,NA,NA
lexirumah-kabo1247-smooth-1,dulu,SMOOTH,"Kabola, Monbang",NA,NA,NA,Kabola,1,CLICS,klz,trill,wiki,NA
robinsonap-adang-268_smooth-1,dulu,SMOOTH,Adang,NA,NA,NA,Adang,3,CLICS,adn,NA,NA,adn
lexirumah-kula1280-lanto-smooth-2,dulua,SMOOTH,"Kula, Lantoka",NA,NA,NA,Kula,1,CLICS,tpg,NA,NA,NA
robinsonap-klon-268_smooth-1,duul,SMOOTH,Klon,NA,NA,NA,Klon,2,CLICS,kyo,trill,wiki,NA
ids-66-15-770-1,duzdy,SMOOTH,Rutul,NA,NA,NA,Rutul,5,CLICS,rut,NA,NA,rut
suntb-MotuoTsangla-882_smooth-1,dzampo,SMOOTH,Tsangla (Motuo),NA,NA,NA,Tsangla,1,CLICS,tsj,NA,NA,tsj
lexirumah-mani1235-smooth-2,edeskwesi,SMOOTH,Sougb,NA,NA,NA,Sougb,1,CLICS,mnx,no rhotic,NA,NA
lexirumah-meya1236-smooth-1,efeta,SMOOTH,Meyah,NA,NA,NA,Meyah,1,CLICS,mej,trill,wiki,NA
lexirumah-mosk1236-smooth-1,ejwarsa,SMOOTH,Moskona,NA,NA,NA,Moskona,1,CLICS,mtj,no trill,"Gravelle, Gloria (2010). A Grammar of Moskona: An East Bird's Head Language of West Papua, Indonesia (PhD). Vrije Universiteit Amsterdam. hdl:1871/15730",NA
tryonsolomon-ghanongga-250_smooth-1,emese,SMOOTH,Ghanongga,NA,NA,NA,Ghanongga,1,CLICS,ghn,NA,NA,NA
tryonsolomon-lungga-250_smooth-1,emese,SMOOTH,Lungga,NA,NA,NA,Lungga,1,CLICS,lga,NA,NA,NA
lexirumah-buru1303-smooth-1,emribe,SMOOTH,Buru,NA,NA,NA,Buru,1,CLICS,mhs,trill,"Grimes, Charles E. (1991). The Buru language of Eastern Indonesia (Ph.D. thesis). Australian National University.",NA
hubercolumbian-Yukpa-334_smooth-1,erora,SMOOTH,Yukpa,NA,NA,NA,Yukpa,1,CLICS,yup,NA,NA,yup
lexirumah-mani1235-smooth-1,eskraha,SMOOTH,Sougb,NA,NA,NA,Sougb,1,CLICS,mnx,no rhotic,NA,NA
tryonsolomon-kokota-250_smooth-1,fanogano,SMOOTH,Kokota,NA,NA,NA,Kokota,1,CLICS,kkk,NA,NA,kkk
hubercolumbian-Ocaina-334_smooth-1,fiiji,SMOOTH,Ocaina,NA,NA,NA,Ocaina,1,CLICS,oca,NA,NA,oca
lexirumah-maka1316-smooth-1,fukal,SMOOTH,Makasae,NA,NA,NA,Makasae,1,CLICS,mkz,no trill,"Correia, Aderito (2011). Describing Makasae: a trans-New Guinea language of East Timor (Ph.D. thesis). University of Western Sydney. - says tap in detailed description (""vibrant"" in the consonant phoneme table)",NA
ids-41-15-770-1,gagalu,SMOOTH,Khwarshi (Khwarshi dialect),NA,NA,NA,Khwarshi,3,CLICS,khv,trill,NA,NA
ids-42-15-770-1,gagaru,SMOOTH,Hinuq,NA,NA,NA,Hinuq,1,CLICS,gin,trill,wiki,NA
ids-57-15-770-1,galagsi,SMOOTH,Dargwa,NA,NA,NA,Dargwa,17,CLICS,dar,trill,wiki,NA
ids-69-15-770-1,gamavar,SMOOTH,Khinalug,NA,NA,NA,Khinalug,1,CLICS,kjj,trill,wiki,NA
ids-80-15-770-1,gamavar,SMOOTH,Udi,NA,NA,NA,Udi,1,CLICS,udi,trill,wiki,NA
ids-70-15-770-1,gamavaryn,SMOOTH,Tsakhur,NA,NA,NA,Tsakhur,2,CLICS,tkr,trill,wiki,NA
diacl-56900-149_smooth-1,gangali,SMOOTH,Laz,NA,NA,NA,Laz,1,CLICS,lzz,NA,NA,lzz
ids-32-15-770-1,garchichii,SMOOTH,Andi,NA,NA,NA,Andi,2,CLICS,ani,trill,wiki,NA
ids-518-15-770-1,giamavar,SMOOTH,Kryz,NA,NA,NA,Kryz,1,CLICS,kry,NA,NA,NA
ids-63-15-770-1,giamavar,SMOOTH,Budukh,NA,NA,NA,Budukh,1,CLICS,bdk,NA,NA,NA
lexirumah-komo1261-smooth-1,g@le,SMOOTH,Komodo,NA,NA,NA,Komodo,1,CLICS,kvh,NA,NA,NA
lexirumah-sika1262-tanai-smooth-1,glohor,SMOOTH,"Sika, Tana Ai",NA,NA,NA,Sika,2,CLICS,ski,NA,NA,NA
diacl-57000-149_smooth-1,gluvi,SMOOTH,Megrelian,NA,NA,NA,Megrelian,1,CLICS,xmf,NA,NA,xmf
lexirumah-lama1277-kalik-smooth-1,g@m@los,SMOOTH,"Central Lembata, Kalikasa",NA,NA,NA,Central Lembata,1,CLICS,lvu,trill,"Krauße, Daniel (2016). ""A Brief Grammar of the Eastern Atadei Language of Lembata, Indonesia"" (PDF). Linguistik Indonesia. 34 (2)",NA
lexirumah-rong1269-smooth-4,godo,SMOOTH,Rongga,NA,NA,NA,Rongga,1,CLICS,ror,NA,NA,NA
hubercolumbian-Barasana-334_smooth-1,gosi,SMOOTH,Barasana,NA,NA,NA,Barasana,1,CLICS,bsn,NA,NA,bsn
hubercolumbian-Macuna-334_smooth-1,gosi,SMOOTH,Macuna,NA,NA,NA,Macuna,1,CLICS,myy,NA,NA,myy
hantganbangime-Fulfulde-241_smooth-1,haasaade,SMOOTH,Fulfulde,NA,NA,NA,Fulfulde,1,CLICS,ffm,NA,NA,ffm
hubercolumbian-Guayabero-334_smooth-1,hahoek,SMOOTH,Guayabero,NA,NA,NA,Guayabero,1,CLICS,guo,NA,NA,guo
lexirumah-panc1247-lawel-smooth-1,halus,SMOOTH,"Pancana, Lawele",NA,NA,NA,Pancana,1,CLICS,pnp,NA,NA,NA
lexirumah-urua1244-smooth-1,halus,SMOOTH,Uruangnirin,NA,NA,NA,Uruangnirin,1,CLICS,urn,NA,NA,NA
lexirumah-masi1269-smooth-1,halusu,SMOOTH,"Cia-Cia, Masiri",NA,NA,NA,Cia-Cia,23,CLICS,cia,NA,NA,NA
hubercolumbian-Guahibo-334_smooth-3,hapina,SMOOTH,Guahibo,NA,NA,NA,Guahibo,1,CLICS,guh,NA,NA,guh
tryonsolomon-faghani-250_smooth-1,hatara,SMOOTH,Faghani,NA,NA,NA,Faghani,1,CLICS,faf,NA,NA,NA
lexirumah-kabu1249-smooth-1,hehetaizi,SMOOTH,"Kaburi, Benawa",NA,NA,NA,Kaburi,1,CLICS,uka,NA,NA,NA
hubercolumbian-Saliba-334_smooth-1,hekaga,SMOOTH,Sáliba,NA,NA,NA,Sáliba,1,CLICS,slc,NA,NA,slc
hubercolumbian-Resigaro-334_smooth-1,heni,SMOOTH,Resígaro,NA,NA,NA,Resígaro,1,CLICS,rgr,NA,NA,rgr
lexirumah-fata1247-smooth-1,hilate,SMOOTH,Fataluku,NA,NA,NA,Fataluku,1,CLICS,ddg,trill,http://ling.hawaii.edu/wp-content/uploads/TylerHestonFinal.pdf,NA
hubercolumbian-Nukak-334_smooth-1,hio2,SMOOTH,Nukak,NA,NA,NA,Nukak,1,CLICS,mbr,NA,NA,mbr
hubercolumbian-Bara-334_smooth-1,hipi,SMOOTH,Bará,NA,NA,NA,Bará,1,CLICS,bao,NA,NA,bao
hubercolumbian-Saliba-334_smooth-2,hoiga,SMOOTH,Sáliba,NA,NA,NA,Sáliba,1,CLICS,slc,NA,NA,slc
tryonsolomon-rennell-250_smooth-1,huahuanggau,SMOOTH,Rennell,NA,NA,NA,Rennell,1,CLICS,mnv,no rhotic,wiki,NA
tryonsolomon-pileni-250_smooth-1,huangongolavoi,SMOOTH,Pileni,NA,NA,NA,Pileni,1,CLICS,piv,no rhotic,wiki,NA
hubercolumbian-Guahibo-334_smooth-4,huehneka,SMOOTH,Guahibo,NA,NA,NA,Guahibo,1,CLICS,guh,NA,NA,guh
hubercolumbian-Jitnu-334_smooth-1,huehuek,SMOOTH,Jitnu,NA,NA,NA,Jitnu,1,CLICS,mbn,NA,NA,mbn
robinsonap-kaera-268_smooth-1,ibayaran,SMOOTH,Kaera,NA,NA,NA,Kaera,1,CLICS,jka,trill,wiki,NA
lexirumah-kaer1234-smooth-1,idujo,SMOOTH,Kaera,NA,NA,NA,Kaera,1,CLICS,jka,trill,wiki,NA
robinsonap-kaera-268_smooth-2,iduyo,SMOOTH,Kaera,NA,NA,NA,Kaera,1,CLICS,jka,trill,wiki,NA
diacl-65500-149_smooth-1,ijym,SMOOTH,Kamayurá,NA,NA,NA,Kamayurá,1,CLICS,kay,NA,NA,kay
tryonsolomon-nembao-250_smooth-1,ikilimo,SMOOTH,Nembao,NA,NA,NA,Nembao,1,CLICS,utp,NA,NA,NA
northeuralex-itl-493_smooth-1,ilkhlakh,SMOOTH,Itelmen,NA,NA,NA,Itelmen,1,CLICS,itl,NA,NA,itl
hubercolumbian-Achagua-334_smooth-1,imiijai,SMOOTH,Achagua,NA,NA,NA,Achagua,1,CLICS,aca,NA,NA,aca
tryonsolomon-buma-250_smooth-1,inene,SMOOTH,Buma,NA,NA,NA,Buma,1,CLICS,tkw,NA,NA,NA
hubercolumbian-Kakua-334_smooth-1,iti3di4,SMOOTH,Kakua,NA,NA,NA,Kakua,1,CLICS,cbv,NA,NA,cbv
hubercolumbian-Achagua-334_smooth-2,ituejii,SMOOTH,Achagua,NA,NA,NA,Achagua,1,CLICS,aca,NA,NA,aca
hubercolumbian-Carapana-334_smooth-2,jabe,SMOOTH,Carapana,NA,NA,NA,Carapana,1,CLICS,cbc,trill,"""vibrante""; Instituto Linguistico de Verano (1973) Sistemas fonologicos de idiomas colombianos. Vol 2. Editorial Townsend. p. 126.",cbc
hubercolumbian-Carapana-334_smooth-1,jabero,SMOOTH,Carapana,NA,NA,NA,Carapana,1,CLICS,cbc,trill,"""vibrante""; Instituto Linguistico de Verano (1973) Sistemas fonologicos de idiomas colombianos. Vol 2. Editorial Townsend. p. 126.",cbc
hubercolumbian-Tatuyo-334_smooth-1,jabi,SMOOTH,Tatuyo,NA,NA,NA,Tatuyo,1,CLICS,tav,NA,NA,tav
northeuralex-mrj-493_smooth-1,jag@lg@,SMOOTH,Hill Mari,NA,NA,NA,Hill Mari,1,CLICS,mrj,trill,https://omniglot.com/writing/mari.htm,NA
hubercolumbian-Desano-334_smooth-1,japi,SMOOTH,Desano,NA,NA,NA,Desano,1,CLICS,des,no rhotic,wiki,des
hubercolumbian-Piratapuyo-334_smooth-1,japi,SMOOTH,Piratapuyo,NA,NA,NA,Piratapuyo,1,CLICS,pir,NA,NA,pir
hubercolumbian-Tucano-334_smooth-1,japi,SMOOTH,Tucano,NA,NA,NA,Tucano,1,CLICS,tuo,NA,NA,tuo
hubercolumbian-Wanano-334_smooth-1,japi,SMOOTH,Wanano,NA,NA,NA,Wanano,1,CLICS,gvc,no trill,wiki,gvc
hubercolumbian-Cubeo-334_smooth-1,jarido,SMOOTH,Cubeo,NA,NA,NA,Cubeo,1,CLICS,cub,NA,NA,cub
wold-Qeqchi-1039_smooth-2,jiji,SMOOTH,Q'eqchi',NA,NA,NA,Q'eqchi',1,CLICS,kek,NA,NA,kek
ids-703-15-770-1,jlih,SMOOTH,Khasi,NA,NA,NA,Khasi,1,CLICS,kha,trill,wiki,kha
satterthwaitetb-Hani-337_smoothofsurface-1,julluqnei,SMOOTH,Hani,NA,NA,NA,Hani,3,CLICS,hni,no rhotic,wiki,NA
suntb-Darang-882_smooth-1,ka31me35a31,SMOOTH,Darang [Taraon],NA,NA,NA,Darang,1,CLICS,mhu,NA,NA,NA
wold-Bezhta-1039_smooth-1,kakalo,SMOOTH,Bezhta,NA,NA,NA,Bezhta,3,CLICS,kap,trill,wiki,NA
ids-52-15-770-1,kakalu,SMOOTH,Hunzib,NA,NA,NA,Hunzib,1,CLICS,huz,trill,wiki,NA
lexirumah-lamb1273-smooth-2,kanudaha,SMOOTH,Lamboya,NA,NA,NA,Lamboya,1,CLICS,lmy,trill,"Verdizade, Allahverdi (2019). Selected topics in the phonology and morphosyntax of Laboya: A field study (MA thesis). Stockholm University.",NA
marrisonnaga-Liangmai-691_smooth-1,kanuibu,SMOOTH,Liangmai,NA,NA,NA,Liangmai,1,CLICS,njn,NA,NA,NA
hubercolumbian-Yucuna-334_smooth-1,kapiluni,SMOOTH,Yucuna,NA,NA,NA,Yucuna,1,CLICS,ycn,NA,NA,ycn
lexirumah-tetu1245-suai-smooth-1,karonak,SMOOTH,"Tetun, Suai",NA,NA,NA,Tetun,1,CLICS,tdt,trill,"Van Klinken, Catharina (1999). A grammar of the Fehan dialect of Tetun, an Austronesian language of West Timor (PDF). Canberra: Pacific Linguistics, The Australian National University. doi:10.15144/PL-C155. ISBN 0858835142.",NA
marrisonnaga-KohimaAngami-691_smooth-1,kemeju,SMOOTH,Angami Kohima,NA,NA,NA,Angami Kohima,1,CLICS,njm,no trill,wiki,njm
lexirumah-lama1277-adona-smooth-1,kemelut,SMOOTH,Adonara Lamaholot,NA,NA,NA,Adonara Lamaholot,1,CLICS,slp,trill,"Michels, M (2017) Western Lamaholot: a cross-dialectal grammar sketch. MA Thesis.",NA
marrisonnaga-Zeme-691_smooth-1,ketenaibe,SMOOTH,Zeme,NA,NA,NA,Zeme,1,CLICS,nzm,NA,NA,NA
hubercolumbian-Curripaco-334_smooth-1,ketidali,SMOOTH,Curripaco,NA,NA,NA,Curripaco,1,CLICS,kpc,NA,NA,kpc
lexirumah-bima1247-smooth-4,ketsu,SMOOTH,Bima,NA,NA,NA,Bima,1,CLICS,bhp,NA,NA,NA
hubercolumbian-Catio-334_smooth-1,khaikhaja,SMOOTH,Catío,NA,NA,NA,Catío,1,CLICS,cto,trill,wiki,cto
hubercolumbian-EmberaChami-334_smooth-1,khakhaja,SMOOTH,Embera Chamí,NA,NA,NA,Embera Chamí,1,CLICS,cmi,mixed with trill,NA,cmi
marrisonnaga-Tangkhul-691_smooth-1,khanganai,SMOOTH,Tangkhul,NA,NA,NA,Tangkhul,1,CLICS,nmf,NA,NA,nmf
satterthwaitetb-Nusu-337_smoothofsurface-1,khja,SMOOTH,Nusu,NA,NA,NA,Nusu,2,CLICS,nuf,NA,NA,NA
ids-33-15-770-1,kiabadabe,SMOOTH,Akhvakh (Northern dialect),NA,NA,NA,Akhvakh,2,CLICS,akv,trill,wiki,NA
