Language,ISO_code,Dataset,Family,Branch,Area,Continent,
Langja Buyang,yzg,IDS,Tai-Kadai,NA,Southeast Asia,S/SE Asia,
Ecun Buyang,yln,IDS,Tai-Kadai,NA,Southeast Asia,S/SE Asia,
Sanchong Kelao,giq,IDS,Tai-Kadai,NA,Southeast Asia,S/SE Asia,
Qau Kelao,gqu,IDS,Tai-Kadai,NA,Southeast Asia,S/SE Asia,
Mahasu Pahari (Kotghari dialect),bfz,IDS,Indo-European,Dardic (Northwestern Indo-Aryan),Indic,S/SE Asia,
Bulang,blr,IDS,Austroasiatic,Northern Mon-Khmer,Southeast Asia,S/SE Asia,
Bulang-2,blr,IDS,Austroasiatic,Northern Mon-Khmer,Southeast Asia,S/SE Asia,
Bulang-2,blr,IDS,Austroasiatic,Northern Mon-Khmer,Southeast Asia,S/SE Asia,
Bulang-3,blr,IDS,Austroasiatic,Northern Mon-Khmer,Southeast Asia,S/SE Asia,
Keme (Kemie variety),mml,IDS,Austroasiatic,Northern Mon-Khmer,Southeast Asia,S/SE Asia,
Xu,huo,IDS,Austroasiatic,NA,Southeast Asia,S/SE Asia,
Wa,wbm,IDS,Austroasiatic,NA,Southeast Asia,S/SE Asia,
Rumai,rbb,IDS,Austroasiatic,NA,Southeast Asia,S/SE Asia,
Prai,pry,IDS,Austroasiatic,NA,Southeast Asia,S/SE Asia,
Paliu,ply,IDS,Austroasiatic,NA,Southeast Asia,S/SE Asia,
Phong,pnx,IDS,Austroasiatic,NA,Southeast Asia,S/SE Asia,
Ahlao Th,thm,IDS,Austroasiatic,NA,Southeast Asia,S/SE Asia,
Pear,pcb,IDS,Austroasiatic,NA,Southeast Asia,S/SE Asia,
Kasong,syo,IDS,Austroasiatic,NA,Southeast Asia,S/SE Asia,
Samre,sxm,IDS,Austroasiatic,NA,Southeast Asia,S/SE Asia,
Iduh,tyh,IDS,Austroasiatic,NA,Southeast Asia,S/SE Asia,
Mang Ch,zng,IDS,Austroasiatic,NA,Southeast Asia,S/SE Asia,
Kme-2 (Kemie variety),mml,IDS,Austroasiatic,Northern Mon-Khmer,Southeast Asia,S/SE Asia,
Pusing,bgk,IDS,Austroasiatic,NA,Southeast Asia,S/SE Asia,
Widi/Cheangwa,NA,Chirila,Pama-Nyungan,Southwestern Pama-Nyungan,S Australia,Australia,
Mary River and Bunya Bunya Country,NA,Chirila,Pama-Nyungan,Waka-Kabic,S Australia,Australia,
Natal Downs,NA,Chirila,Pama-Nyungan,Maric,S Australia,Australia,
Yugarabul,NA,Chirila,Pama-Nyungan,Durubalic,S Australia,Australia,
Ng'goi Mwoi,NA,Chirila,Pama-Nyungan,Bandjalangic,S Australia,Australia,
Coonambella,NA,Chirila,Pama-Nyungan,Dyirbalic,N Australia,Australia,
Pikwurrung,NA,Chirila,Pama-Nyungan,Southeastern Pama-Nyungan,S Australia,Australia,
Upper Clarence River,NA,Chirila,Pama-Nyungan,Bandjalangic,S Australia,Australia,
Kaado,NA,Reflex,Nilo-Saharan,Songhay,African Savannah,Africa,
Gevia,NA,Reflex,Benue-Congo,Bantoid,S Africa,Africa,
Yoómbe,NA,Reflex,Benue-Congo,Bantoid,S Africa,Africa,
Nembe,NA,Reflex,Benue-Congo,Ijoid,African Savannah,Africa,
Cuoi,NA,IDS,Austroasiatic,Vietic,Southeast Asia,S/SE Asia,
LiHa,NA,IDS,Austroasiatic,Vietic,Southeast Asia,S/SE Asia,
LiHa,NA,IDS,Austroasiatic,Vietic,Southeast Asia,S/SE Asia,
Tum,NA,IDS,Austroasiatic,Vietic,Southeast Asia,S/SE Asia,
Kha Poong,NA,IDS,Austroasiatic,Vietic,Southeast Asia,S/SE Asia,
Malieng,NA,IDS,Austroasiatic,Vietic,Southeast Asia,S/SE Asia,
KNB (a Pearic variety),NA,IDS,Austroasiatic,Pearic,Southeast Asia,S/SE Asia,
