APPENDIX,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Touch-,Sensory,Touch-,,,,,,,,,,,,,,,
Related,List,Focused,,Hardness,,Part motion,,Roughness,,Shape,,Size,,Temperature,,Weight,
bulky,1,1,9,,,3.40,1.80,,,1.90,2.20,,,,,,
bumpy,17,54,0,,,,,3.30,2.30,,,,,,,,
burning,3,7,50,,,,,,,,,,,6.60,0.90,,
callused,1,0,0,,,,,4.20,2.00,,,,,,,,
canvas*,1,1,19,-1.40,2.40,,,-0.30,3.20,,,,,,,-0.80,2.20
ceramic,1,1,9,2.80,2.80,,,-2.50,3.10,,,,,,,,
chalky,2,5,1,-2.30,2.90,,,-1.10,2.60,,,,,,,,
chilly,2,1,5,,,,,,,,,,,-3.60,1.40,,
chubby,1,1,2,,,,,,,,,3.00,2.00,,,2.00,3.20
chunky,1,1,1,,,,,,,,,2.60,2.20,,,1.80,3.30
circular,4,6,21,,,,,,,6.60,1.20,,,,,,
clammy,4,8,2,,,,,,,,,,,0.80,2.10,,
clean,7,7,70,-3.30,4.20,,,,,,,,,,,,
clingy,1,0,0,,,2.30,1.40,,,,,,,,,,
closed,1,1,106,,,,,,,,,,,,,,
cloth*,2,0,43,-2.40,1.90,,,-2.40,2.90,,,,,,,,
coarse,16,51,10,2.70,3.40,,,5.40,1.50,,,,,,,,
coated,1,0,4,,,,,-2.80,3.00,,,,,,,,
cold,71,112,171,,,,,,,,,,,-5.50,1.70,,
collapsible,0,1,1,,,3.50,2.20,,,,,,,,,,
comfortable,10,3,17,-4.80,2.10,,,,,,,,,,,,
compact,2,1,12,,,,,,,,,-3.50,2.60,,,,
complete,1,0,181,,,,,,,,,,,,,,
concave,1,0,4,,,,,,,5.30,1.40,,,,,,
conical,1,0,0,,,,,,,5.90,1.60,,,,,,
contoured,0,1,0,,,,,,,2.80,2.10,,,,,,
convex,1,0,1,,,,,,,5.20,2.00,,,,,,
cool,4,18,62,,,,,,,,,,,-2.80,2.10,,
corroded,1,0,0,,,,,3.50,2.40,,,,,,,,
cotton*,1,0,38,-4.10,2.20,,,-3.70,2.70,,,,,-4.30,2.50,,
cracked,3,3,17,,,,,3.50,2.00,3.60,2.50,,,,,,
craterous,1,1,0,2.80,2.60,,,3.60,1.90,3.60,2.50,,,,,,
creamy,3,1,1,-4.80,2.40,,,-4.80,2.10,,,,,,,,
creased,1,1,2,,,,,,,2.80,2.50,,,,,,
crevices*,1,1,1,,,,,3.90,1.70,,,,,,,,
crinkled,1,1,0,0.30,2.50,,,2.40,2.40,1.80,1.90,,,,,,
crinkly,2,1,0,0.80,2.70,,,2.70,2.20,1.90,2.00,,,,,,
crisp,2,2,8,1.80,3.10,,,2.00,3.50,,,,,,,,
crumpled,2,1,3,,,,,3.10,2.60,,,,,,,,
crumbly,1,1,1,-0.50,3.40,,,3.20,2.30,,,,,,,,
crushed,1,1,10,1.00,2.80,,,,,,,,,,,,
crusty,1,2,0,2.60,2.20,,,2.90,2.40,,,,,,,,
cubical,4,5,0,,,,,,,6.30,1.20,,,,,,
cuddly,8,6,0,-5.00,1.70,,,,,,,,,,,,
curly,5,2,5,,,,,,,4.20,2.20,,,,,,
curved,3,11,7,,,,,,,4.30,2.30,,,,,,
cushioned,1,2,0,-3.80,1.90,,,,,,,,,,,,
cushiony,1,1,0,-4.30,2.10,,,,,,,,,,,,
cushy,2,2,0,-4.70,1.70,,,,,,,,,,,,
cylindrical,3,4,11,,,,,,,6.20,1.40,,,,,,
damp,5,13,16,,,,,,,,,,,-0.30,1.80,,
delicate,3,5,27,-4.20,2.60,,,,,,,,,,,,
dense,4,3,9,,,,,,,,,,,,,4.40,1.80
dented,1,2,1,,,,,2.40,2.50,3.50,2.30,,,,,,
dewy,2,2,0,,,,,,,,,,,-0.40,1.70,,
dimensional,1,1,11,,,,,,,4.30,2.70,,,,,,
disjointed,0,1,1,1.40,3.00,,,2.70,2.30,,,,,,,,
dusty,2,6,16,,,,,-0.80,3.10,,,,,,,,
egg shaped,1,1,0,,,,,,,5.70,2.50,,,,,,
elastic,2,3,7,,,2.40,2.30,,,,,,,,,-4.30,2.50
empty,1,2,64,,,,,,,,,,,,,,
enormous,2,1,17,,,,,,,,,6.70,0.50,,,,
etched,1,2,2,,,,,2.80,2.60,,,,,,,,
fabric*,0,1,15,-2.80,1.80,,,-1.90,2.50,,,,,,,,
fat,14,14,60,,,,,,,,,5.10,1.50,,,5.20,1.70
feathered,3,1,4,-4.80,1.80,,,-4.60,2.00,,,,,,,-5.80,1.10
felt*,1,1,357,-3.60,2.60,,,-3.90,2.20,,,,,,,,
fiberglass*,1,0,5,3.30,2.20,,,2.70,4.40,,,,,,,,
fibrous,0,1,5,,,,,2.30,2.50,,,,,,,,
filmy,0,1,11,-2.80,2.30,,,,,,,,,,,,
fine,3,4,161,,,,,-5.20,2.10,,,,,,,,
firm,7,13,107,,,,,4.20,1.60,,,,,,,,
flabby,1,2,0,-2.80,2.10,,,,,,,,,,,1.40,2.90
flaky,1,4,2,,,2.70,2.30,,,,,,,,,,
flannel*,1,0,4,-3.50,1.70,,,-2.90,2.80,,,,,,,,
flat,24,22,67,,,,,-2.70,4.10,3.30,2.90,,,,,,
flexible,5,10,25,,,3.90,2.40,,,,,,,,,,
flimsy,5,3,2,-2.70,1.70,,,,,,,,,,,-3.80,1.50
floppy,1,1,1,,,4.20,2.00,,,,,,,,,,
fluffy,17,19,1,-5.90,1.40,,,,,,,,,,,-5.30,1.90
fluid*,1,1,21,-4.80,2.70,3.80,3.20,-4.60,2.50,,,,,,,,
foamy,1,3,3,-4.40,1.90,,,,,,,,,,,,
foldable,1,0,0,,,3.70,2.10,,,,,,,,,,
formica*,1,0,0,3.10,2.50,,,-1.30,4.10,,,,,,,,
fragile,1,5,10,,,,,,,,,,,,,-2.80,2.40
frayed,1,4,3,,,,,-0.80,2.40,1.70,1.90,,,,,,
freezing,6,14,15,,,,,,,,,,,-6.70,0.80,,
frigid,1,2,5,,,,,,,,,,,-6.20,1.40,,
fringy,1,0,0,,,,,,,1.70,2.10,,,,,,
frizzy,1,2,0,,,,,0.60,4.10,,,,,,,,
frosty,2,1,1,,,,,,,,,,,-5.80,1.20,,
frozen,1,4,27,,,,,,,,,,,-6.70,0.70,,
full,2,24,230,,,,,,,,,,,,,3.60,2.00
furry,24,37,0,-5.30,1.70,,,-2.80,2.90,,,,,,,,
fuzzy,26,40,7,-4.00,2.10,,,-1.60,3.80,,,,,,,,
gelatinous,1,5,0,-4.30,2.80,1.60,2.20,-4.20,2.60,,,,,,,,
gigantic,4,2,10,,,,,,,,,6.80,0.50,,,,
glass*,1,0,99,2.40,3.30,,,-5.20,1.90,,,,,,,,
glassy,2,7,2,2.30,3.30,,,-4.30,2.90,,,,,,,,
gluey,1,1,0,,,,,-2.90,0.00,,,,,,,,
gnarled,1,1,1,,,,,4.40,1.70,,,,,,,,
gooey,2,14,1,-4.30,1.90,,,-4.90,1.60,,,,,,,,
goopy,0,1,0,-4.30,2.10,,,-3.60,2.40,,,,,,,,
grainy,9,14,0,1.80,3.00,,,3.90,2.00,,,,,,,,
granular,0,1,3,,,,,3.50,2.60,,,,,,,,
gravelly,1,1,7,,,,,4.10,2.60,,,,,,,,
greasy,6,12,8,,,,,-5.10,2.20,,,,,,,,
grimy,1,1,0,,,,,-1.20,4.10,,,,,,,,
grippy,1,0,0,,,,,,,,,,,,,,
grooved,3,4,1,,,,,1.70,2.40,,,,,,,,
hairy,22,44,5,-1.40,2.50,,,0.00,3.50,,,,,,,,
hand sized,1,0,0,,,,,,,,,-2.30,2.50,,,,
hard,91,107,202,6.30,1.10,,,,,,,,,,,,
harsh,1,2,12,,,,,5.50,1.50,,,,,5.60,1.60,,
heat*,0,1,97,,,,,,,,,,,,,,
heavy,30,34,110,,,,,,,,,,,,,6.90,0.30
holey,2,6,0,,,,,2.00,2.60,,,,,,,,
hollow,4,5,12,,,,,,,,,,,,,-4.20,1.80
hot,66,100,130,,,,,,,,,,,6.50,0.70,,
huge,6,1,54,,,,,,,,,5.40,1.60,,,,
humid,1,1,1,,,,,,,,,,,3.30,1.70,,
hurt,1,2,37,,,,,,,,,,,1.80,4.00,,
icky,1,1,0,,,,,,,,,,,-0.30,3.20,,
icy,3,4,12,4.80,1.90,,,-4.30,3.80,,,,,-5.60,1.70,,
immense,1,1,14,,,,,,,,,5.80,1.70,,,,
indestructible,1,1,1,6.40,0.70,,,,,,,,,,,,
inflexible,1,1,3,4.90,1.90,,,,,,,,,,,,
insulated,1,0,4,,,,,,,,,,,1.80,2.60,,
intricate,3,1,10,,,,,,,,,-2.20,4.10,,,,
jagged,2,14,5,,,,,6.30,1.00,4.00,2.70,,,,,,
knitted,1,3,8,-3.20,1.70,,,,,,,,,,,,
knobby,2,3,0,1.80,3.00,,,2.60,2.00,,,,,,,,
lacy,1,2,4,-2.50,2.00,,,-1.40,3.60,,,,,,,,
large,14,17,361,,,,,,,,,5.00,1.60,,,,
leather*,5,4,24,-0.90,2.70,,,-2.10,3.10,,,,,,,,
level,0,1,213,,,,,,,,,,,,,,
light,29,33,333,,,,,,,,,,,,,-6.50,1.20
limp,1,0,12,-3.30,2.50,,,,,,,,,,,,
little,6,5,831,,,,,,,,,-4.60,2.10,,,,
lopsided,1,1,0,,,,,,,3.90,2.30,,,,,,
lubricated,1,0,1,,,2.70,2.70,-6.20,0.90,,,,,,,,
lukewarm,3,8,5,,,,,,,,,,,1.80,1.80,,
lumpy,4,10,2,,,,,2.90,2.50,,,,,,,,
matted,1,1,0,,,,,0.30,3.10,,,,,,,,
maxi,1,0,0,,,,,,,,,4.00,3.70,,,,
melted,1,1,9,-3.20,2.60,,,,,,,,,1.90,2.20,,
metal*,5,8,61,5.20,1.90,,,,,,,,,,,,
metallic,5,7,9,2.80,2.90,,,-1.90,3.70,,,,,,,,
microscopic,2,1,8,,,,,,,,,-7.00,0.00,,,,
mini,1,0,0,,,,,,,,,-5.50,1.00,,,,
minuscule,2,1,1,,,,,,,,,6.80,0.40,,,,
minute,1,1,53,,,,,,,,,-4.90,2.20,,,,
moveable,2,3,19,,,4.70,2.30,,,,,,,,,,
muscular,3,2,16,3.10,3.70,,,,,,,,,,,,
mushy,4,8,0,-5.30,1.50,,,,,,,,,,,,
narrow,7,3,63,,,,,,,,,-3.00,2.10,,,,
nonbreakable,1,1,0,5.30,2.00,,,,,,,,,,,,
nonsymmetrical,0,1,0,,,,,,,2.90,2.50,,,,,,
nylon*,1,1,1,-2.70,1.70,,,-2.60,2.50,,,,,,,,
obese,1,0,0,,,,,,,,,5.90,1.20,,,,
oblique,1,1,1,,,,,,,4.30,2.70,,,,,,
oblong,4,6,1,,,,,,,5.30,1.90,,,,,,
octagonal,0,1,3,,,,,,,6.90,0.30,,,,,,
odd shaped,1,1,0,,,,,,,4.30,2.50,,,,,,
oily,4,10,10,,,,,-6.20,0.70,,,,,,,,
open,0,3,319,,,3.90,2.70,,,,,,,,,,
oval,1,3,8,,,,,,,,,6.30,1.80,,,,
oversized,1,0,2,,,,,,,,,,,5.30,1.10,,
painted,1,1,40,,,,,-3.00,2.50,,,,,,,,
papery,1,1,1,,,,,-3.20,2.60,,,,,,-1.40,2.30,
parallel,1,1,40,,,,,,,4.30,1.90,,,,,,
pebbly,1,2,0,3.30,2.10,,,3.80,2.50,,,,,,,,
peeling,1,1,6,,,,,0.80,3.00,,,,,,,,
perforated,1,1,3,,,,,0.40,3.10,,,,,,,,
perpendicular,2,2,2,,,,,,,,,4.30,1.80,,,,
petite,1,1,1,,,,,,,,,,,-4.30,2.20,,
pint sized,2,0,1,,,,,,,2.40,2.90,,,,,,
plastic*,9,9,31,,,,,-4.10,2.50,,,,,,,,
pliable,4,11,1,,,,,,,,,,,,,,
plush,3,9,3,-5.10,1.70,,,,,,,,,,,,
pointed,4,13,74,,,,,,,4.80,1.90,,,,,,
pointy,8,9,0,3.20,2.20,,,,,3.70,2.60,,,,,,
polished,1,1,14,,,,,-5.30,1.80,,,,,,,,
powder*,2,2,28,-4.30,2.40,,,-4.30,2.50,,,,,,,,
prickly,4,36,2,3.60,2.10,,,5.20,1.60,,,,,,,,
puffy,1,3,2,-5.30,1.40,,,,,,,,,,,,
pulsating,1,0,3,,,5.50,1.30,,,,,,,,,,
pulsing,1,1,2,,,5.70,1.30,,,,,,,,,,
pyramidal,1,0,1,,,,,,,6.50,0.80,,,,,,
ragged,0,1,9,,,,,3.30,2.90,,,,,,,,
rectangular,8,9,5,,,,,,,6.30,1.20,,,,,,
ribbed,3,5,0,,,,,3.40,1.80,3.20,2.70,,,,,,
ridged,3,7,0,,,,,3.10,2.40,,,,,,,,
rigid,2,16,24,4.90,1.70,,,,,,,,,,,,
rippled,1,1,1,,,,,3.10,2.50,,,,,,,,
rocky,0,5,10,4.40,2.20,,,4.80,2.20,,,,,,,,
rolled,1,1,47,,,,,,,2.70,2.30,,,,,,
room temperature,1,1,0,,,,,,,,,,,1.40,1.70,,
rotund,1,0,1,,,,,,,,,3.60,2.40,,,,
rough,65,94,41,,,,,6.20,1.60,,,,,,,,
round,35,57,81,,,,,,,5.60,2.20,,,,,,
rubbery,9,21,1,-2.00,2.80,,,,,,,,,,,,
rugged,1,2,19,,,,,4.00,2.00,,,,,,,,
rust*,3,2,10,,,,,3.50,2.40,,,,,,,,
sandy,3,7,6,,,,,3.90,2.70,,,,,,,,
satiny,1,7,0,-5.00,1.90,,,-5.30,1.50,,,,,,,,
scalding,3,2,1,,,,,,,,,,,6.90,0.30,,
scaly,4,10,0,,,,,1.90,4.20,,,,,,,,
scorching,1,1,0,,,,,,,,,,,7.00,0.00,,
scratchy,11,20,1,,,,,5.00,1.90,,,,,,,,
scrunchy,1,1,0,,,,,0.60,3.10,,,,,,,,
sequined,1,0,0,,,,,3.30,2.20,,,,,,,,
serrated,1,2,0,,,,,4.00,2.70,,,,,,,,
shape*,1,0,85,,,,,,,4.50,3.10,,,,,,
shapely,1,0,2,,,,,,,4.70,2.10,,,,,,
sharp,33,71,72,3.40,3.60,,,,,,,,,,,,
shiny,1,1,3,,,,,-4.20,2.50,,,,,,,,
short,12,14,212,,,,,,,,,-3.40,2.10,,,,
silky,15,38,1,-5.70,1.90,,,-5.90,1.60,,,,,,,,
skinny,9,8,9,,,,,,,,,-3.40,2.00,,,,
slanted,2,1,3,,,,,,,2.80,1.90,,,,,,
sleek,1,1,2,,,,,-4.60,2.70,,,,,,,,
slender,1,2,19,,,,,,,,,-3.30,2.20,,,,
slick,9,18,7,,,,,-5.50,1.70,,,,,,,,
slim,3,0,20,,,,,,,,,-3.30,2.10,,,,
slimy,15,37,0,,,,,-5.20,2.20,,,,,,,,
slippery,10,25,5,,,,,-6.20,0.70,,,,,-4.00,1.50,,
slushy,1,1,0,,,,,,,,,,,,,,
small,16,31,542,,,,,,,,,-5.40,1.70,,,,
smooshy,1,3,0,-5.10,1.30,,,,,,,,,,,,
smooth,77,106,42,,,,,-6.90,0.30,,,,,,,,
soft,104,111,61,-6.30,1.70,,,,,,,,,,,,
soggy,1,1,3,-4.30,1.50,,,,,,,,,,,,
solid,11,13,77,5.90,1.60,,,,,,,,,,,,
spherical,5,7,8,,,,,,,6.30,1.50,,,,,,
spiky,3,5,0,3.80,2.20,,,5.80,1.70,,,,,,,,
splintery,0,3,1,,,,,,,1.80,2.40,,,,,,
spongy,2,8,2,-3.70,1.60,,,,,,,,,,,,
square,24,36,143,,,,,,,6.50,1.20,,,,,,
squeezable,0,4,0,-3.80,1.70,,,,,,,,,,,,
squishy,20,28,0,-4.60,1.90,,,,,,,,,,,,
starched,1,1,2,1.30,2.80,,,,,,,,,,,,
steamy,1,1,0,,,,,,,,,,,4.30,1.60,,
steel*,1,1,45,5.30,1.70,,,,,,,,,,,5.20,1.90
stiff,7,6,21,4.90,2.00,,,,,,,,,,,,
straight,5,13,114,,,,,,,4.30,2.40,,,,,,
stretchy,2,1,0,,,3.80,1.80,,,,,,,,,,
stubbly,1,2,0,1.80,3.60,,,5.00,1.20,,,,,,,,
sturdy,8,6,16,,,,,,,,,,,,,,
suede*,0,3,0,-3.30,2.60,,,-3.60,2.90,,,,,,,,
sweaty,5,7,5,,,,,,,,,,,3.40,1.40,,
swollen,0,1,12,,,,,,,1.80,2.10,,,,,,
symmetrical,2,5,2,,,,,,,3.20,2.30,,,,,,
tall,7,6,55,,,,,,,,,3.30,1.70,,,,
temperate,0,2,2,,,,,,,,,,,0.90,1.70,,
tender,4,5,11,-5.00,2.00,,,,,,,,,,,,
tetrahedral,0,1,0,,,,,,,6.50,1.40,,,,,,
textured,1,16,2,,,,,0.80,3.60,,,,,,,,
thick,11,17,37,,,,,,,,,2.80,2.00,,,,
thin,14,31,92,,,,,,,,,-2.80,2.40,,,,
thorny,0,3,2,,,,,5.80,1.90,3.50,2.70,,,,,,
tight,6,10,28,,,0.90,1.90,,,,,,,,,,
tin*,1,1,12,2.30,2.10,,,-1.80,3.00,,,,,,,,
tiny,8,8,50,,,,,,,,,-5.80,1.60,,,,
top heavy,1,1,1,,,,,,,,,,,,,3.90,2.20
tough,3,3,36,4.70,2.30,,,,,,,,,,,,
triangular,11,16,5,,,,,,,6.40,1.00,,,,,,
tubular,1,2,4,,,,,,,5.80,1.80,,,,,,
twisted,2,3,19,,,3.50,1.60,,,,,,,,,,
varnished,0,1,0,,,,,-3.70,2.50,,,,,,,,
velour*,1,1,1,-3.80,2.10,,,,,,,,,,,,
velvety,5,12,3,-5.30,1.60,,,-5.30,1.60,,,,,,,,
vibrating,1,1,1,,,5.40,1.60,,,,,,,,,,
wafflish,1,1,0,,,,,1.60,2.50,,,,,,,,
warm,39,78,67,,,,,,,,,,,2.80,1.50,,
waxy,0,4,2,,,,,-3.60,2.20,,,,,,,,
whole,2,1,309,,,,,,,2.10,2.80,,,,,,
wiggling,1,1,2,,,5.50,1.50,,,,,,,,,,
windy,2,0,2,,,4.80,2.30,,,,,,,,,,
wiry,1,0,8,,,,,,,3.30,2.20,,,,,,
wobbly,2,3,2,,,4.80,1.90,,,,,,,,,,
wooden,5,8,50,3.80,2.20,,,1.30,2.80,,,,,,,,
woolly,3,3,3,-1.50,2.70,,,0.00,4.20,,,,,,,,
woven,0,2,9,,,,,-0.20,4.50,,,,,,,,
zippered,1,0,0,,,2.40,1.80,,,,,,,,,,
"NoteÑK&F, Kuÿcera & Francis (1967) frequency in written English per million words.  ",,,,,,,,,,,,,,,,,
 Readers are advised to use shape and part motion rankings with caution.,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
